,prate,mrate,totpart,totelg,age,totemp,sole,ltotemp
0,26.1,0.21,1653.0,6322.0,8,8709.0,0,9.072112
1,100.0,1.42,262.0,262.0,6,315.0,1,5.7525725
2,97.6,0.91,166.0,170.0,10,275.0,1,5.616771
3,100.0,0.42,257.0,257.0,7,500.0,0,6.214608
4,82.5,0.53,591.0,716.0,28,933.0,1,6.838405
5,100.0,1.82,92.0,92.0,7,143.0,1,4.962845
6,100.0,0.53,399.0,399.0,31,628.0,1,6.44254
7,92.5,0.34,210.0,227.0,13,823.0,0,6.7129564
8,100.0,0.22,234.0,234.0,21,279.0,1,5.6312118
9,96.8,0.6,120.0,124.0,10,141.0,1,4.94876
10,83.0,0.5,156.0,188.0,5,252.0,0,5.529429
11,100.0,1.11,187.0,187.0,20,237.0,1,5.46806
12,65.5,0.43,350.0,534.0,5,681.0,1,6.5235624
13,84.9,0.51,1519.0,1790.0,10,2557.0,0,7.84659
14,100.0,0.19,150.0,150.0,7,187.0,1,5.2311087
15,100.0,0.41,160.0,160.0,7,188.0,1,5.236442
16,100.0,0.84,3448.0,3448.0,13,4120.0,0,8.323608
17,77.6,0.46,225.0,290.0,15,341.0,0,5.8318825
18,100.0,0.45,519.0,519.0,15,598.0,0,6.393591
19,100.0,1.13,176.0,176.0,8,273.0,1,5.609472
20,66.9,0.48,79.0,118.0,5,224.0,1,5.411646
21,100.0,0.39,270.0,270.0,7,415.0,0,6.0282784
22,70.3,0.21,201.0,286.0,7,361.0,0,5.888878
23,100.0,0.95,381.0,381.0,23,422.0,0,6.0450053
24,51.3,0.34,284.0,554.0,9,797.0,1,6.680855
25,61.3,0.36,171.0,279.0,15,2102.0,1,7.650645
26,88.3,0.96,3858.0,4371.0,28,4371.0,0,8.382747
27,100.0,0.87,143.0,143.0,8,143.0,1,4.962845
28,82.9,4.2,107.0,129.0,7,131.0,1,4.8751974
29,77.8,0.08,770.0,990.0,6,1042.0,0,6.9488974
30,100.0,0.91,179.0,179.0,6,312.0,1,5.7430034
31,90.1,0.44,2803.0,3110.0,6,3543.0,0,8.1727295
32,85.3,0.62,93.0,109.0,13,158.0,0,5.062595
33,100.0,0.28,425.0,425.0,7,458.0,0,6.126869
34,100.0,0.59,2027.0,2027.0,7,2442.0,0,7.800573
35,75.6,0.3,438.0,579.0,11,1721.0,0,7.4506607
36,100.0,0.56,584.0,584.0,7,685.0,1,6.529419
37,100.0,0.65,1284.0,1284.0,5,1559.0,0,7.3518
38,100.0,1.31,109.0,109.0,37,297.0,1,5.6937323
39,78.2,0.21,1017.0,1301.0,7,2125.0,0,7.661527
40,77.4,0.41,209.0,270.0,7,381.0,1,5.9427996
41,100.0,0.23,145.0,145.0,6,405.0,0,6.003887
42,77.0,0.41,612.0,795.0,12,1125.0,0,7.0255384
43,100.0,2.03,133.0,133.0,35,206.0,1,5.327876
44,98.9,0.52,275.0,278.0,42,297.0,0,5.6937323
45,75.3,0.39,192.0,255.0,6,1024.0,0,6.931472
46,77.2,0.16,464.0,601.0,6,636.0,0,6.455199
47,100.0,0.99,542.0,542.0,9,622.0,0,6.43294
48,88.5,0.1,3107.0,3510.0,5,6428.0,0,8.768418
49,100.0,0.02,732.0,732.0,7,2284.0,0,7.7336836
50,100.0,0.88,173.0,173.0,7,322.0,1,5.7745514
51,42.5,0.29,316.0,744.0,37,775.0,0,6.652863
52,100.0,0.13,122.0,122.0,11,157.0,1,5.056246
53,100.0,1.59,390.0,390.0,32,446.0,0,6.100319
54,74.7,0.58,2307.0,3089.0,36,4067.0,1,8.310661
55,37.5,0.29,1136.0,3033.0,6,3351.0,0,8.117014
56,78.0,0.14,2332.0,2990.0,9,9080.0,1,9.11383
57,84.0,0.65,905.0,1078.0,31,1253.0,1,7.133296
58,100.0,2.39,179.0,179.0,6,179.0,1,5.187386
59,100.0,1.14,307.0,307.0,20,411.0,1,6.0185933
60,84.9,0.41,686.0,808.0,7,1404.0,1,7.247081
61,79.5,0.22,1634.0,2055.0,5,2304.0,0,7.742402
62,100.0,0.45,118.0,118.0,5,149.0,1,5.0039463
63,100.0,1.1,337.0,337.0,14,720.0,1,6.5792513
64,95.8,0.63,113.0,118.0,6,130.0,0,4.8675346
65,99.3,0.49,599.0,603.0,28,665.0,0,6.499787
66,81.2,0.15,108.0,133.0,7,231.0,1,5.4424176
67,93.6,0.11,162.0,173.0,27,211.0,1,5.351858
68,88.1,0.24,222.0,252.0,8,425.0,1,6.052089
69,100.0,0.65,150.0,150.0,16,198.0,1,5.288267
70,100.0,1.35,285.0,285.0,10,287.0,0,5.659482
71,100.0,0.2,2311.0,2311.0,5,3062.0,0,8.026824
72,81.0,0.18,102.0,126.0,27,151.0,1,5.0172796
73,100.0,1.17,101.0,101.0,8,247.0,0,5.5093884
74,73.8,1.12,357.0,484.0,20,24656.0,1,10.112776
75,65.7,0.15,334.0,508.0,6,808.0,0,6.694562
76,94.9,1.66,1330.0,1402.0,27,2437.0,0,7.798523
77,38.1,0.2,69.0,181.0,6,529.0,1,6.2709885
78,91.9,0.2,148.0,161.0,11,575.0,0,6.35437
79,35.6,0.19,678.0,1904.0,9,5102.0,0,8.537388
80,71.9,0.22,1252.0,1741.0,5,2896.0,0,7.9710855
81,77.4,2.24,212.0,274.0,6,379.0,0,5.9375362
82,100.0,0.62,163.0,163.0,11,253.0,1,5.5333896
83,93.2,0.44,1915.0,2054.0,8,3400.0,1,8.131531
84,84.6,0.44,312.0,369.0,7,591.0,0,6.381816
85,90.3,0.47,940.0,1041.0,8,1102.0,0,7.004882
86,73.0,0.12,92.0,126.0,8,138.0,1,4.9272537
87,86.3,0.44,320.0,371.0,7,482.0,0,6.177944
88,95.6,0.44,259.0,271.0,7,3661.0,1,8.205492
89,80.5,4.66,24772.0,30767.0,16,31973.0,0,10.372647
90,65.6,0.26,80.0,122.0,7,306.0,1,5.723585
91,37.7,0.35,251.0,665.0,8,1395.0,0,7.2406497
92,78.4,0.23,254.0,324.0,6,391.0,0,5.9687076
93,61.7,0.23,463.0,750.0,10,926.0,1,6.8308744
94,58.7,0.25,2371.0,4039.0,14,4838.0,0,8.484257
95,81.1,0.41,189.0,233.0,8,424.0,1,6.0497336
96,100.0,0.69,427.0,427.0,10,3209.0,1,8.073714
97,58.4,0.34,108.0,185.0,5,273.0,1,5.609472
98,34.2,0.21,230.0,672.0,5,798.0,1,6.6821084
99,100.0,1.1,381.0,381.0,7,478.0,1,6.1696105
100,100.0,0.51,203.0,203.0,9,597.0,1,6.391917
101,96.0,0.5,25828.0,26906.0,23,93165.0,0,11.442127
102,100.0,0.23,753.0,753.0,7,945.0,1,6.851185
103,100.0,0.9,934.0,934.0,7,989.0,0,6.896694
104,100.0,0.84,595.0,595.0,5,3076.0,0,8.031385
105,100.0,1.07,801.0,801.0,7,8546.0,0,9.053219
106,76.4,0.44,1794.0,2347.0,8,4230.0,1,8.349957
107,100.0,0.35,202.0,202.0,6,267.0,1,5.587249
108,92.7,0.32,127.0,137.0,7,162.0,0,5.0875964
109,56.7,0.29,161.0,284.0,8,1588.0,0,7.3702307
110,100.0,1.99,208.0,208.0,6,208.0,1,5.3375382
111,78.7,0.13,207.0,263.0,7,359.0,1,5.8833222
112,74.1,0.43,235.0,317.0,6,949.0,1,6.8554087
113,45.5,0.07,276.0,606.0,7,710.0,1,6.565265
114,87.4,0.33,188.0,215.0,8,1162.0,1,7.057898
115,100.0,0.94,156.0,156.0,7,1249.0,1,7.1300983
116,86.4,0.37,10149.0,11753.0,5,15602.0,0,9.655154
117,64.6,0.37,148.0,229.0,13,4228.0,1,8.349484
118,93.0,1.0,251.0,270.0,10,996.0,1,6.903747
119,89.5,0.53,213.0,238.0,15,377.0,1,5.9322453
120,100.0,1.6,580.0,580.0,33,889.0,1,6.790097
121,100.0,2.4,154.0,154.0,40,199.0,1,5.293305
122,100.0,0.76,416.0,416.0,24,435.0,1,6.075346
123,68.6,0.45,177.0,258.0,18,301.0,0,5.7071104
124,63.3,0.28,927.0,1465.0,8,2468.0,0,7.8111634
125,100.0,0.7,1147.0,1147.0,25,2174.0,1,7.6843243
126,89.6,0.38,7843.0,8756.0,19,19871.0,0,9.897017
127,88.8,0.4,4402.0,4956.0,10,19871.0,0,9.897017
128,58.6,0.18,184.0,314.0,7,644.0,0,6.4676986
129,100.0,1.07,356.0,356.0,6,593.0,1,6.3851943
130,100.0,0.2,3701.0,3701.0,33,6769.0,0,8.820108
131,100.0,0.62,241.0,241.0,7,373.0,1,5.9215784
132,56.2,0.18,406.0,723.0,6,1035.0,0,6.942157
133,100.0,0.85,122.0,122.0,35,196.0,1,5.278115
134,61.8,0.45,792.0,1281.0,6,1843.0,0,7.51915
135,75.7,0.3,184.0,243.0,7,271.0,0,5.602119
136,100.0,0.39,104.0,104.0,27,207.0,1,5.332719
137,100.0,0.47,2014.0,2014.0,8,3511.0,0,8.163656
138,100.0,0.11,114.0,114.0,7,134.0,1,4.89784
139,100.0,0.83,206.0,206.0,31,290.0,1,5.669881
140,61.2,0.74,8322.0,13591.0,7,17986.0,0,9.797349
141,100.0,1.15,411.0,411.0,26,690.0,1,6.5366917
142,100.0,0.6,556.0,556.0,16,891.0,0,6.7923446
143,100.0,0.18,125.0,125.0,5,204.0,0,5.31812
144,68.0,0.25,385.0,566.0,5,879.0,0,6.7787848
145,79.8,0.36,285.0,357.0,6,639.0,0,6.4599047
146,59.4,0.3,368.0,620.0,5,903.0,0,6.8057227
147,100.0,1.41,149.0,149.0,8,250.0,1,5.521461
148,61.6,0.2,178.0,289.0,8,599.0,0,6.395262
149,81.0,0.78,328.0,405.0,20,609.0,0,6.4118185
150,33.5,0.46,85.0,254.0,9,425.0,1,6.052089
151,65.1,0.11,10327.0,15857.0,8,41926.0,0,10.6436615
152,100.0,1.08,277.0,277.0,26,465.0,1,6.1420374
153,83.7,0.31,1626.0,1943.0,24,2364.0,0,7.7681103
154,89.8,0.17,115.0,128.0,7,225.0,0,5.4161005
155,100.0,0.38,174.0,174.0,7,545.0,1,6.300786
156,75.8,0.26,424.0,559.0,7,780.0,0,6.659294
157,66.6,0.15,702.0,1054.0,9,1145.0,0,7.04316
158,85.1,0.1,549.0,645.0,29,1053.0,1,6.9593987
159,100.0,0.53,231.0,231.0,5,278.0,0,5.627621
160,100.0,0.82,148.0,148.0,5,189.0,1,5.241747
161,90.5,0.44,344.0,380.0,19,479.0,1,6.1717005
162,100.0,0.99,76.0,76.0,7,4198.0,1,8.342363
163,67.6,0.77,583.0,863.0,8,978.0,0,6.8855095
164,100.0,4.06,343.0,343.0,7,3290.0,1,8.098643
165,75.0,0.2,645.0,860.0,11,1015.0,0,6.9226437
166,100.0,0.74,250.0,250.0,25,441.0,1,6.089045
167,89.9,0.39,116.0,129.0,7,177.0,0,5.17615
168,100.0,0.43,596.0,596.0,11,781.0,1,6.660575
169,100.0,0.13,412.0,412.0,8,412.0,0,6.0210233
170,100.0,0.21,235.0,235.0,20,768.0,0,6.64379
171,66.9,0.68,113.0,169.0,5,176.0,1,5.170484
172,89.3,0.53,536.0,600.0,18,790.0,1,6.672033
173,100.0,1.9,126.0,126.0,15,750.0,1,6.6200733
174,81.5,0.84,4432.0,5440.0,8,10683.0,0,9.276409
175,80.9,0.42,5138.0,6353.0,13,7428.0,0,8.913012
176,87.6,0.63,99.0,113.0,20,154.0,1,5.0369525
177,77.0,0.55,151.0,196.0,12,221.0,0,5.398163
178,99.5,0.96,219.0,220.0,7,256.0,1,5.5451775
179,97.7,0.52,213.0,218.0,6,250.0,1,5.521461
180,100.0,4.31,292.0,292.0,23,429.0,0,6.061457
181,100.0,1.27,165.0,165.0,5,214.0,1,5.365976
182,58.8,0.32,1096.0,1864.0,9,8470.0,0,9.044286
183,100.0,0.56,293.0,293.0,6,412.0,1,6.0210233
184,100.0,0.29,65.0,65.0,20,118.0,1,4.7706847
185,93.1,0.57,511.0,549.0,9,584.0,1,6.369901
186,100.0,1.27,165.0,165.0,13,207.0,1,5.332719
187,100.0,0.35,175.0,175.0,19,207.0,1,5.332719
188,100.0,0.38,146.0,146.0,5,192.0,1,5.2574954
189,100.0,0.66,121.0,121.0,19,207.0,0,5.332719
190,56.4,0.2,472.0,837.0,12,1522.0,1,7.3277807
191,87.3,0.28,1832.0,2098.0,10,3450.0,1,8.14613
192,100.0,0.67,249.0,249.0,16,764.0,1,6.638568
193,22.1,0.11,166.0,752.0,7,3537.0,1,8.171034
194,48.6,0.19,402.0,828.0,5,1200.0,0,7.090077
195,100.0,0.5,166.0,166.0,7,247.0,1,5.5093884
196,65.1,0.63,3205.0,4926.0,10,31859.0,0,10.369075
197,100.0,0.47,534.0,534.0,7,860.0,1,6.7569323
198,83.4,0.44,2495.0,2991.0,32,5277.0,0,8.571113
199,100.0,0.78,152.0,152.0,11,389.0,1,5.963579
200,100.0,0.47,198.0,198.0,8,308.0,1,5.7300997
201,55.7,0.2,141.0,253.0,6,307.0,0,5.7268476
202,100.0,0.43,215.0,215.0,8,600.0,1,6.3969297
203,100.0,1.8,139.0,139.0,12,204.0,1,5.31812
204,100.0,1.24,360.0,360.0,8,783.0,1,6.6631327
205,100.0,3.16,247.0,247.0,11,268.0,1,5.590987
206,55.1,0.21,102.0,185.0,7,237.0,1,5.46806
207,100.0,1.25,99.0,99.0,9,151.0,0,5.0172796
208,71.4,0.62,267.0,374.0,5,416.0,1,6.0306854
209,78.3,0.5,382.0,488.0,7,654.0,1,6.4831076
210,100.0,0.51,574.0,574.0,13,831.0,1,6.72263
211,100.0,0.77,306.0,306.0,11,545.0,1,6.300786
212,100.0,0.4,3030.0,3030.0,6,4075.0,0,8.312626
213,99.1,0.28,111.0,112.0,11,144.0,1,4.9698133
214,100.0,1.02,560.0,560.0,8,2409.0,0,7.786967
215,78.5,0.34,197.0,251.0,9,264.0,1,5.575949
216,64.9,0.47,181.0,279.0,5,309.0,1,5.733341
217,77.5,0.6,110.0,142.0,7,190.0,1,5.247024
218,58.6,0.37,140.0,239.0,7,695.0,0,6.543912
219,100.0,0.19,142.0,142.0,5,171.0,1,5.1416636
220,80.0,0.2,557.0,696.0,6,889.0,0,6.790097
221,100.0,0.47,409.0,409.0,6,796.0,1,6.6795993
222,100.0,0.69,161.0,161.0,5,323.0,1,5.7776523
223,100.0,1.23,265.0,265.0,6,265.0,1,5.57973
224,42.1,0.19,1217.0,2892.0,6,5036.0,0,8.524367
225,100.0,2.89,247.0,247.0,8,333.0,1,5.8081427
226,73.4,0.4,91.0,124.0,5,173.0,1,5.1532917
227,77.5,0.1,179.0,231.0,5,409.0,1,6.0137153
228,100.0,0.55,852.0,852.0,5,852.0,1,6.7475867
229,59.1,0.42,272.0,460.0,8,1521.0,1,7.327123
230,75.3,0.47,440.0,584.0,6,753.0,1,6.6240654
231,92.2,0.62,379.0,411.0,17,468.0,1,6.1484685
232,82.6,0.64,176.0,213.0,30,254.0,0,5.5373344
233,89.8,0.23,132.0,147.0,24,540.0,0,6.291569
234,95.3,0.41,123.0,129.0,5,491.0,0,6.196444
235,47.3,0.42,156.0,330.0,7,384.0,0,5.9506426
236,78.6,0.2,971.0,1236.0,5,4195.0,0,8.341649
237,75.5,0.24,880.0,1165.0,20,1306.0,0,7.174724
238,100.0,0.82,470.0,470.0,16,569.0,0,6.3438807
239,90.7,0.4,165.0,182.0,10,268.0,0,5.590987
240,97.2,0.24,106.0,109.0,10,124.0,0,4.8202815
241,60.6,0.19,197.0,325.0,6,975.0,1,6.8824377
242,87.1,0.23,546.0,627.0,6,694.0,0,6.542472
243,100.0,0.96,93.0,93.0,15,104.0,1,4.644391
244,79.0,0.16,454.0,575.0,8,880.0,0,6.779922
245,100.0,1.7,257.0,257.0,7,307.0,1,5.7268476
246,100.0,0.7,213.0,213.0,7,720.0,1,6.5792513
247,100.0,0.67,104.0,104.0,7,116.0,1,4.75359
248,48.6,0.47,134.0,276.0,6,287.0,1,5.659482
249,100.0,1.34,115.0,115.0,23,194.0,1,5.267858
250,100.0,1.02,123.0,123.0,15,244.0,1,5.497168
251,92.7,0.22,102.0,110.0,9,174.0,1,5.159055
252,100.0,2.6,132.0,132.0,20,205.0,1,5.32301
253,100.0,0.17,163.0,163.0,23,394.0,0,5.976351
254,100.0,1.32,119.0,119.0,8,244.0,1,5.497168
255,68.7,0.07,572.0,833.0,22,833.0,0,6.7250338
256,100.0,1.33,156.0,156.0,23,227.0,0,5.42495
257,100.0,1.44,97.0,97.0,16,306.0,1,5.723585
258,100.0,1.23,2097.0,2097.0,10,2868.0,0,7.96137
259,100.0,2.34,138.0,138.0,5,237.0,1,5.46806
260,100.0,2.62,51200.0,51200.0,17,51200.0,1,10.843494
261,100.0,0.39,136.0,136.0,14,334.0,1,5.811141
262,100.0,1.43,210.0,210.0,8,256.0,1,5.5451775
263,100.0,0.05,234.0,234.0,17,1107.0,1,7.009409
264,100.0,4.64,114.0,114.0,6,185.0,1,5.220356
265,100.0,0.26,161.0,161.0,6,737.0,0,6.6025877
266,100.0,2.51,244.0,244.0,5,244.0,1,5.497168
267,100.0,0.64,355.0,355.0,5,440.0,0,6.086775
268,100.0,0.88,403.0,403.0,5,437.0,0,6.079933
269,100.0,1.3,203.0,203.0,8,253.0,1,5.5333896
270,100.0,0.59,159.0,159.0,5,183.0,1,5.209486
271,94.5,0.29,596.0,631.0,7,631.0,0,6.4473057
272,100.0,0.52,257.0,257.0,7,259.0,1,5.556828
273,100.0,0.17,2972.0,2972.0,6,4197.0,0,8.342125
274,100.0,0.47,389.0,389.0,5,531.0,1,6.274762
275,78.0,0.56,568.0,728.0,12,3924.0,0,8.274867
276,88.5,0.43,1899.0,2146.0,6,2153.0,0,7.6746173
277,100.0,0.15,261.0,261.0,7,739.0,0,6.605298
278,99.9,0.36,847.0,848.0,8,976.0,1,6.8834624
279,100.0,0.37,637.0,637.0,22,751.0,0,6.6214056
280,100.0,0.2,100.0,100.0,5,147.0,1,4.9904327
281,75.7,0.22,2572.0,3399.0,9,14204.0,0,9.561279
282,100.0,1.66,224.0,224.0,21,332.0,0,5.805135
283,66.6,0.37,251.0,377.0,7,1524.0,0,7.329094
284,75.9,0.42,472.0,622.0,7,812.0,0,6.6995006
285,93.8,0.2,105.0,112.0,6,142.0,0,4.955827
286,86.6,0.11,596.0,688.0,10,919.0,0,6.823286
287,100.0,1.07,103.0,103.0,9,106.0,1,4.6634393
288,100.0,0.37,437.0,437.0,7,446.0,0,6.100319
289,100.0,0.73,616.0,616.0,7,639.0,1,6.4599047
290,64.9,0.42,96.0,148.0,20,225.0,1,5.4161005
291,100.0,2.53,134.0,134.0,9,191.0,1,5.2522736
292,100.0,0.3,2851.0,2851.0,7,4044.0,0,8.30499
293,100.0,0.39,381.0,381.0,7,561.0,0,6.329721
294,75.3,0.43,290.0,385.0,24,1108.0,0,7.010312
295,96.8,0.18,274.0,283.0,8,315.0,0,5.7525725
296,100.0,0.29,433.0,433.0,9,471.0,0,6.154858
297,49.6,1.45,137.0,276.0,11,328.0,0,5.7930136
298,42.4,0.64,772.0,1821.0,8,2048.0,0,7.624619
299,100.0,0.25,182.0,182.0,21,635.0,1,6.453625
300,100.0,0.63,214.0,214.0,20,268.0,0,5.590987
301,100.0,0.32,249.0,249.0,7,308.0,1,5.7300997
302,83.7,0.15,431.0,515.0,15,600.0,0,6.3969297
303,83.5,0.67,71.0,85.0,6,101.0,1,4.6151204
304,85.1,0.23,131.0,154.0,4,285.0,1,5.652489
305,80.6,0.42,1409.0,1748.0,14,3138.0,0,8.051341
306,100.0,0.03,255.0,255.0,25,266.0,0,5.583496
307,100.0,0.87,126.0,126.0,7,233.0,1,5.4510384
308,77.4,0.22,702.0,907.0,6,1334.0,0,7.195937
309,82.5,3.99,2492.0,3022.0,9,3904.0,0,8.269757
310,100.0,1.11,4252.0,4252.0,33,4483.0,0,8.408048
311,100.0,0.09,483.0,483.0,9,546.0,1,6.302619
312,48.8,0.23,690.0,1413.0,5,4100.0,1,8.318742
313,100.0,0.08,105.0,105.0,5,156.0,1,5.049856
314,73.5,0.31,186.0,253.0,13,260.0,0,5.560682
315,100.0,0.68,1051.0,1051.0,5,1094.0,0,6.997596
316,82.0,0.41,937.0,1142.0,28,6179.0,0,8.728911
317,100.0,0.8,547.0,547.0,20,869.0,1,6.767343
318,77.2,0.74,982.0,1272.0,10,1719.0,0,7.449498
319,100.0,1.42,104.0,104.0,8,141.0,1,4.94876
320,90.7,0.36,411.0,453.0,5,1380.0,1,7.229839
321,100.0,0.89,1275.0,1275.0,8,2473.0,1,7.813187
322,83.6,0.21,138.0,165.0,7,1990.0,1,7.59589
323,100.0,1.09,252.0,252.0,7,254.0,0,5.5373344
324,46.9,0.25,345.0,736.0,7,1131.0,1,7.0308576
325,91.2,0.67,198.0,217.0,9,313.0,0,5.7462034
326,76.5,0.47,297.0,388.0,5,703.0,0,6.555357
327,72.3,0.46,427.0,591.0,8,663.0,1,6.496775
328,96.5,0.72,245.0,254.0,9,348.0,1,5.8522024
329,82.2,0.27,245.0,298.0,7,469.0,1,6.150603
330,100.0,0.44,87.0,87.0,16,117.0,0,4.762174
331,100.0,1.58,123.0,123.0,10,123.0,1,4.8121843
332,100.0,0.33,109.0,109.0,7,161.0,1,5.081404
333,100.0,0.92,108.0,108.0,7,278.0,1,5.627621
334,100.0,0.71,174.0,174.0,7,241.0,1,5.484797
335,100.0,0.55,460.0,460.0,5,705.0,1,6.558198
336,100.0,2.18,826.0,826.0,7,2262.0,1,7.7240047
337,100.0,0.37,246.0,246.0,6,309.0,0,5.733341
338,89.4,1.4,152.0,170.0,6,181.0,1,5.198497
339,100.0,1.48,129.0,129.0,7,795.0,1,6.6783423
340,96.0,2.0,753.0,784.0,16,1003.0,0,6.910751
341,100.0,0.82,380.0,380.0,6,1929.0,0,7.564757
342,100.0,3.81,1989.0,1989.0,6,3924.0,0,8.274867
343,100.0,0.42,155.0,155.0,8,210.0,1,5.3471074
344,100.0,0.53,93.0,93.0,9,262.0,1,5.5683446
345,100.0,1.07,892.0,892.0,16,1334.0,1,7.195937
346,100.0,0.97,884.0,884.0,39,1191.0,0,7.0825486
347,97.4,0.5,518.0,532.0,35,1922.0,0,7.5611215
348,100.0,0.49,1320.0,1320.0,7,1888.0,0,7.5432734
349,93.7,0.36,699.0,746.0,7,1011.0,0,6.9186954
350,74.0,0.24,1232.0,1664.0,6,3733.0,1,8.224967
351,91.6,0.75,536.0,585.0,5,894.0,0,6.795706
352,100.0,0.25,262.0,262.0,6,305.0,0,5.7203116
353,98.6,0.37,207.0,210.0,21,312.0,1,5.7430034
354,77.9,0.37,1170.0,1501.0,6,1782.0,0,7.4854918
355,92.3,0.73,322.0,349.0,37,492.0,1,6.1984787
356,100.0,0.41,634.0,634.0,7,2839.0,0,7.951207
357,100.0,2.0,188.0,188.0,29,283.0,1,5.645447
358,100.0,0.39,178.0,178.0,36,178.0,1,5.1817837
359,91.7,0.11,210.0,229.0,29,783.0,1,6.6631327
360,99.8,1.54,475.0,476.0,16,681.0,1,6.5235624
361,98.7,1.23,155.0,157.0,16,231.0,1,5.4424176
362,100.0,1.46,971.0,971.0,8,12210.0,1,9.41001
363,59.8,0.26,974.0,1629.0,9,1826.0,1,7.509883
364,100.0,0.89,908.0,908.0,14,995.0,0,6.902743
365,21.0,0.17,2577.0,12291.0,24,20928.0,0,9.948843
366,100.0,0.22,251.0,251.0,22,363.0,1,5.894403
367,100.0,0.12,131.0,131.0,9,922.0,1,6.8265452
368,78.0,0.17,213.0,273.0,5,287.0,1,5.659482
369,72.0,0.22,683.0,949.0,7,2977.0,0,7.9986715
370,100.0,0.24,114.0,114.0,6,247.0,1,5.5093884
371,90.8,1.27,128.0,141.0,6,141.0,1,4.94876
372,100.0,1.03,102.0,102.0,9,119.0,1,4.7791233
373,100.0,3.45,212.0,212.0,6,232.0,1,5.4467373
374,100.0,1.99,190.0,190.0,8,211.0,1,5.351858
375,73.7,0.35,168.0,228.0,7,349.0,1,5.855072
376,100.0,1.68,555.0,555.0,18,2691.0,1,7.8976684
377,100.0,0.14,1655.0,1655.0,6,2555.0,0,7.8458076
378,100.0,0.33,148.0,148.0,5,233.0,1,5.4510384
379,100.0,0.1,105.0,105.0,7,105.0,1,4.65396
380,76.3,0.3,161.0,211.0,8,856.0,0,6.75227
381,54.1,0.22,482.0,891.0,6,3277.0,0,8.094684
382,76.5,0.25,127.0,166.0,5,225.0,0,5.4161005
383,95.2,0.52,99.0,104.0,6,317.0,1,5.7589016
384,92.0,0.06,613.0,666.0,15,1368.0,0,7.221105
385,100.0,0.51,284.0,284.0,6,340.0,0,5.8289456
386,100.0,0.87,183.0,183.0,9,221.0,1,5.398163
387,74.4,0.18,232.0,312.0,7,925.0,0,6.829794
388,48.9,0.01,116.0,237.0,7,2114.0,1,7.6563373
