,attend,termGPA,priGPA,ACT,final,atndrte,hwrte,frosh,soph,missed,stndfnl
340,32,3.05,2.84,15,24,100.0,100.0,0,1,0,-0.36764705
341,28,3.64,3.69,26,31,87.5,100.0,0,1,4,1.1029412
342,26,3.54,3.37,25,31,81.25,100.0,0,1,6,1.1029412
343,23,2.86,2.17,23,28,71.875,75.0,1,0,9,0.47268906
344,32,3.68,3.6,23,31,100.0,100.0,0,1,0,1.1029412
345,28,3.23,3.28,26,29,87.5,100.0,0,1,4,0.6827731
346,30,3.15,3.49,25,18,93.75,100.0,0,1,2,-1.6281513
347,27,3.11,2.84,21,31,84.375,100.0,0,1,5,1.1029412
348,25,2.59,2.92,24,28,78.125,62.5,0,1,7,0.47268906
349,32,2.79,2.75,24,25,100.0,100.0,0,1,0,-0.15756303
350,25,3.04,3.17,24,26,78.125,75.0,0,1,7,0.05252101
351,27,2.18,2.44,22,22,84.375,87.5,1,0,5,-0.78781515
352,28,2.81,2.35,22,22,87.5,100.0,0,0,4,-0.78781515
353,32,2.9,2.19,18,24,100.0,100.0,0,1,0,-0.36764705
354,30,3.5,3.28,28,33,93.75,100.0,0,1,2,1.5231092
355,18,2.17,2.25,25,36,56.25,87.5,0,1,14,2.1533613
356,15,1.35,1.59,31,21,46.875,50.0,0,1,17,-0.9978992
357,21,0.792,1.65,23,23,65.625,62.5,1,0,11,-0.5777311
358,24,3.19,2.62,19,34,75.0,100.0,1,0,8,1.7331933
359,32,3.38,3.29,23,29,100.0,100.0,0,1,0,0.6827731
360,18,1.85,1.43,25,27,56.25,75.0,0,0,14,0.26260504
361,24,2.63,3.39,24,27,75.0,75.0,0,0,8,0.26260504
362,25,2.04,2.39,21,22,78.125,100.0,0,1,7,-0.78781515
363,30,4.0,2.24,25,35,93.75,100.0,0,1,2,1.9432774
364,32,3.86,3.87,31,34,100.0,100.0,0,1,0,1.7331933
365,32,3.07,2.9,18,23,100.0,100.0,0,1,0,-0.5777311
366,29,2.65,2.64,23,19,90.625,100.0,0,1,3,-1.4180672
367,10,2.5,2.25,31,35,31.25,37.5,0,1,22,1.9432774
368,27,3.63,2.18,23,29,84.375,100.0,0,0,5,0.6827731
369,19,1.63,2.46,23,24,59.375,100.0,0,1,13,-0.36764705
370,17,2.65,2.67,28,26,53.125,87.5,0,1,15,0.05252101
371,29,2.81,3.25,22,30,90.625,100.0,0,1,3,0.89285713
372,26,2.38,2.43,23,26,81.25,100.0,1,0,6,0.05252101
373,16,1.65,2.23,20,22,50.0,50.0,1,0,16,-0.78781515
374,18,2.67,2.63,24,24,56.25,100.0,1,0,14,-0.36764705
375,17,1.68,1.98,22,13,53.125,75.0,0,1,15,-2.6785715
376,6,2.31,1.8,27,28,18.75,50.0,0,1,26,0.47268906
377,27,3.0,2.81,21,30,84.375,100.0,1,0,5,0.89285713
378,24,2.64,2.27,21,22,75.0,100.0,0,1,8,-0.78781515
379,26,2.0,2.77,22,19,81.25,100.0,0,0,6,-1.4180672
380,15,1.62,2.08,26,19,46.875,87.5,0,1,17,-1.4180672
381,28,2.69,2.5,25,28,87.5,100.0,1,0,4,0.47268906
382,30,3.95,3.81,31,36,93.75,100.0,0,1,2,2.1533613
383,29,1.62,2.57,21,25,90.625,62.5,0,0,3,-0.15756303
384,30,2.43,1.93,20,17,93.75,100.0,0,0,2,-1.8382353
385,28,2.5,2.51,24,28,87.5,100.0,0,0,4,0.47268906
386,28,3.46,2.0,20,35,87.5,100.0,1,0,4,1.9432774
387,32,3.09,2.59,23,33,100.0,100.0,0,0,0,1.5231092
388,23,2.33,2.61,24,19,71.875,75.0,0,0,9,-1.4180672
389,12,1.23,2.51,25,21,37.5,37.5,0,0,20,-0.9978992
390,26,3.25,2.15,27,32,81.25,100.0,0,1,6,1.3130252
391,5,1.77,1.91,27,25,15.625,50.0,0,1,27,-0.15756303
392,30,4.0,3.92,29,37,93.75,100.0,0,1,2,2.3634453
393,25,2.63,2.84,25,22,78.125,100.0,0,1,7,-0.78781515
394,27,3.7,3.31,24,31,84.375,100.0,0,1,5,1.1029412
395,28,1.96,2.04,21,17,87.5,87.5,0,1,4,-1.8382353
396,14,1.17,1.84,19,28,43.75,50.0,0,0,18,0.47268906
397,28,2.88,2.97,24,27,87.5,100.0,0,0,4,0.26260504
398,28,2.33,2.36,18,22,87.5,100.0,0,1,4,-0.78781515
399,23,2.0,2.15,19,17,71.875,100.0,0,1,9,-1.8382353
400,28,2.15,2.0,20,23,87.5,100.0,0,1,4,-0.5777311
401,27,1.88,1.74,15,27,84.375,87.5,1,0,5,0.26260504
402,32,2.9,2.7,21,23,100.0,100.0,1,0,0,-0.5777311
403,29,3.5,3.59,28,35,90.625,100.0,0,0,3,1.9432774
404,25,2.41,2.75,21,23,78.125,100.0,0,0,7,-0.5777311
405,29,2.38,2.74,19,25,90.625,100.0,0,0,3,-0.15756303
406,22,3.04,2.48,16,24,68.75,100.0,0,0,10,-0.36764705
407,31,2.41,2.48,27,25,96.875,87.5,0,1,1,-0.15756303
408,29,2.45,2.44,18,23,90.625,75.0,0,1,3,-0.5777311
409,26,3.66,2.86,27,30,81.25,87.5,0,1,6,0.89285713
410,10,1.53,2.02,28,32,31.25,25.0,0,1,22,1.3130252
411,27,1.89,1.97,21,21,84.375,100.0,1,0,5,-0.9978992
412,23,3.7,2.82,24,34,71.875,100.0,0,1,9,1.7331933
413,32,4.0,3.9,28,38,100.0,100.0,0,0,0,2.5735295
414,28,2.33,2.42,19,17,87.5,87.5,1,0,4,-1.8382353
415,24,2.85,2.5,25,31,75.0,75.0,0,1,8,1.1029412
416,24,2.0,2.13,15,26,75.0,62.5,0,0,8,0.05252101
417,30,3.62,3.8,27,31,93.75,100.0,0,1,2,1.1029412
418,31,2.4,3.02,23,27,96.875,100.0,0,1,1,0.26260504
419,30,3.71,3.5,28,35,93.75,87.5,0,1,2,1.9432774
420,32,3.54,3.32,23,32,100.0,100.0,0,0,0,1.3130252
421,32,3.57,2.84,19,26,100.0,100.0,0,1,0,0.05252101
422,31,3.11,2.74,19,24,96.875,87.5,1,0,1,-0.36764705
423,28,2.13,2.03,22,19,87.5,87.5,0,1,4,-1.4180672
424,31,3.5,3.23,24,28,96.875,100.0,0,1,1,0.47268906
425,27,3.31,2.19,27,26,84.375,100.0,1,0,5,0.05252101
426,23,2.25,2.24,21,24,71.875,87.5,0,1,9,-0.36764705
427,25,2.38,2.15,23,28,78.125,62.5,1,0,7,0.47268906
428,28,1.46,2.32,25,32,87.5,75.0,0,0,4,1.3130252
429,28,3.04,2.94,19,27,87.5,100.0,0,0,4,0.26260504
430,23,2.68,2.7,23,21,71.875,75.0,0,1,9,-0.9978992
431,14,1.11,1.2,25,18,43.75,87.5,1,0,18,-1.6281513
432,27,0.692,1.74,21,19,84.375,100.0,0,1,5,-1.4180672
433,29,2.96,2.8,16,23,90.625,100.0,0,1,3,-0.5777311
434,25,2.37,2.46,23,32,78.125,87.5,0,1,7,1.3130252
435,25,2.25,2.2,19,24,78.125,100.0,1,0,7,-0.36764705
436,27,2.25,2.6,26,31,84.375,62.5,0,1,5,1.1029412
437,30,2.5,2.21,16,29,93.75,87.5,1,0,2,0.6827731
438,28,2.0,2.17,18,21,87.5,87.5,0,0,4,-0.9978992
439,26,3.0,2.6,23,23,81.25,87.5,0,1,6,-0.5777311
440,6,2.13,2.94,28,29,18.75,37.5,0,0,26,0.6827731
441,27,1.23,2.71,25,26,84.375,75.0,0,0,5,0.05252101
442,26,2.0,1.8,16,26,81.25,100.0,0,1,6,0.05252101
443,28,3.5,2.59,19,29,87.5,100.0,1,0,4,0.6827731
444,17,2.0,2.64,24,24,53.125,75.0,0,1,15,-0.36764705
445,24,2.32,2.1,25,30,75.0,87.5,1,0,8,0.89285713
446,26,1.9,2.49,24,20,81.25,87.5,0,1,6,-1.2079831
447,30,2.5,2.43,22,19,93.75,100.0,0,1,2,-1.4180672
448,25,3.29,2.9,25,35,78.125,75.0,0,1,7,1.9432774
449,29,2.0,2.91,23,20,90.625,75.0,0,0,3,-1.2079831
450,29,3.41,2.98,27,35,90.625,87.5,0,1,3,1.9432774
451,21,1.5,2.39,19,24,65.625,87.5,0,1,11,-0.36764705
452,29,3.5,3.04,27,28,90.625,100.0,1,0,3,0.47268906
453,19,0.567,1.74,21,23,59.375,50.0,1,0,13,-0.5777311
454,29,3.19,3.5,25,32,90.625,87.5,0,1,3,1.3130252
455,28,1.88,2.54,17,20,87.5,100.0,0,1,4,-1.2079831
456,32,2.0,2.45,17,29,100.0,100.0,0,1,0,0.6827731
457,26,2.62,2.98,31,22,81.25,75.0,1,0,6,-0.78781515
458,29,2.82,1.96,22,26,90.625,87.5,1,0,3,0.05252101
459,28,3.14,2.02,20,20,87.5,100.0,0,1,4,-1.2079831
460,32,2.85,1.91,20,27,100.0,100.0,0,1,0,0.26260504
461,31,2.13,2.3,17,20,96.875,87.5,0,0,1,-1.2079831
462,27,2.64,2.56,19,19,84.375,87.5,1,0,5,-1.4180672
463,27,2.12,2.21,20,19,84.375,87.5,0,0,5,-1.4180672
464,24,3.35,2.12,17,29,75.0,100.0,0,0,8,0.6827731
465,26,2.73,3.09,25,22,81.25,100.0,0,1,6,-0.78781515
466,31,3.0,1.5,20,22,96.875,100.0,1,0,1,-0.78781515
467,20,1.75,1.98,17,22,62.5,87.5,1,0,12,-0.78781515
468,28,2.88,2.82,25,21,87.5,100.0,0,0,4,-0.9978992
469,23,3.23,3.12,28,30,71.875,87.5,0,1,9,0.89285713
470,31,2.96,2.68,21,24,96.875,100.0,0,1,1,-0.36764705
471,12,2.32,2.58,23,20,37.5,50.0,0,1,20,-1.2079831
472,29,2.54,2.26,21,24,90.625,100.0,0,1,3,-0.36764705
473,12,0.333,2.47,26,23,37.5,,0,0,20,-0.5777311
474,27,1.82,2.26,18,17,84.375,100.0,0,1,5,-1.8382353
475,31,3.34,3.21,21,28,96.875,100.0,0,1,1,0.47268906
476,29,2.9,2.66,22,29,90.625,100.0,0,0,3,0.6827731
477,26,2.92,3.0,23,25,81.25,62.5,0,1,6,-0.15756303
478,29,3.16,3.25,23,26,90.625,100.0,0,1,3,0.05252101
479,30,3.05,2.83,21,19,93.75,100.0,0,0,2,-1.4180672
480,22,2.54,2.84,22,33,68.75,100.0,0,1,10,1.5231092
481,29,2.1,1.95,22,30,90.625,100.0,0,0,3,0.89285713
482,30,3.77,3.53,25,27,93.75,100.0,0,0,2,0.26260504
483,15,1.25,1.75,27,28,46.875,25.0,0,1,17,0.47268906
484,29,2.65,2.27,25,17,90.625,100.0,0,1,3,-1.8382353
485,25,2.3,2.04,19,21,78.125,100.0,0,1,7,-0.9978992
486,29,1.07,1.32,21,16,90.625,87.5,1,0,3,-2.0483193
487,25,2.56,2.71,24,24,78.125,100.0,0,0,7,-0.36764705
488,21,2.54,1.88,22,30,65.625,62.5,1,0,11,0.89285713
489,31,2.91,2.67,23,28,96.875,100.0,1,0,1,0.47268906
490,26,3.0,2.92,19,24,81.25,100.0,0,0,6,-0.36764705
491,29,2.43,1.34,18,21,90.625,100.0,1,0,3,-0.9978992
492,31,3.21,2.68,26,32,96.875,87.5,0,1,1,1.3130252
493,10,1.6,2.29,24,17,31.25,50.0,0,1,22,-1.8382353
494,29,2.85,2.39,24,29,90.625,100.0,0,1,3,0.6827731
495,23,3.03,3.6,29,31,71.875,100.0,0,1,9,1.1029412
496,26,3.04,2.56,27,30,81.25,100.0,0,1,6,0.89285713
497,27,1.69,2.61,23,20,84.375,100.0,0,0,5,-1.2079831
498,27,1.95,2.75,24,30,84.375,75.0,1,0,5,0.89285713
499,21,1.93,2.38,20,28,65.625,100.0,0,1,11,0.47268906
500,18,1.81,2.75,27,27,56.25,62.5,0,1,14,0.26260504
501,27,2.86,3.13,21,11,84.375,25.0,0,1,5,-3.0987394
502,27,3.25,2.63,26,30,84.375,100.0,0,1,5,0.89285713
503,28,2.5,2.62,20,23,87.5,87.5,0,1,4,-0.5777311
504,27,2.39,2.29,17,30,84.375,75.0,1,0,5,0.89285713
505,16,2.53,2.89,32,29,50.0,87.5,0,1,16,0.6827731
506,23,2.65,1.25,25,29,71.875,87.5,1,0,9,0.6827731
507,22,3.42,2.51,23,26,68.75,100.0,0,0,10,0.05252101
508,26,2.68,2.46,22,24,81.25,100.0,1,0,6,-0.36764705
509,19,1.79,1.82,20,25,59.375,75.0,0,1,13,-0.15756303
510,9,1.35,1.52,27,30,28.125,,1,0,23,0.89285713
511,30,3.38,3.0,21,16,93.75,100.0,0,1,2,-2.0483193
512,4,0.45,2.14,27,25,12.5,,0,0,28,-0.15756303
513,32,3.88,3.23,22,30,100.0,100.0,0,0,0,0.89285713
514,31,2.85,2.38,20,29,96.875,100.0,1,0,1,0.6827731
515,28,2.31,1.88,20,24,87.5,87.5,1,0,4,-0.36764705
516,28,2.65,2.77,23,28,87.5,100.0,0,1,4,0.47268906
517,25,2.86,2.61,25,25,78.125,62.5,0,0,7,-0.15756303
518,25,1.63,2.01,20,27,78.125,25.0,0,0,7,0.26260504
519,32,3.07,2.89,26,31,100.0,100.0,0,0,0,1.1029412
520,19,2.12,2.16,22,31,59.375,87.5,0,1,13,1.1029412
521,32,4.0,3.81,25,36,100.0,100.0,0,1,0,2.1533613
522,25,1.96,2.0,22,28,78.125,75.0,1,0,7,0.47268906
523,28,1.77,1.89,19,17,87.5,87.5,1,0,4,-1.8382353
524,24,2.69,2.12,23,28,75.0,87.5,0,1,8,0.47268906
525,32,2.97,2.88,25,30,100.0,100.0,0,0,0,0.89285713
526,31,3.27,3.05,22,32,96.875,87.5,0,1,1,1.3130252
527,27,2.31,2.23,22,22,84.375,100.0,0,1,5,-0.78781515
528,30,1.88,2.11,22,24,93.75,87.5,0,1,2,-0.36764705
529,27,2.25,2.61,18,24,84.375,87.5,1,0,5,-0.36764705
530,29,2.75,2.98,31,35,90.625,75.0,0,1,3,1.9432774
531,26,1.79,2.73,27,24,81.25,75.0,1,0,6,-0.36764705
532,32,3.86,3.93,24,34,100.0,100.0,0,1,0,1.7331933
533,21,2.08,1.99,24,23,65.625,87.5,0,0,11,-0.5777311
534,28,2.96,2.76,23,31,87.5,100.0,1,0,4,1.1029412
535,26,2.23,1.83,18,21,81.25,100.0,0,1,6,-0.9978992
536,25,2.46,2.58,20,21,78.125,100.0,0,1,7,-0.9978992
537,26,1.7,2.12,28,26,81.25,87.5,1,0,6,0.05252101
538,30,3.13,2.68,23,29,93.75,100.0,1,0,2,0.6827731
539,27,2.38,2.02,16,21,84.375,100.0,0,1,5,-0.9978992
540,16,2.75,2.06,20,22,50.0,75.0,0,1,16,-0.78781515
541,27,2.64,2.27,22,19,84.375,100.0,1,0,5,-1.4180672
542,13,2.46,3.04,24,24,40.625,87.5,0,1,19,-0.36764705
543,5,0.667,1.6,26,23,15.625,12.5,1,0,27,-0.5777311
544,32,2.82,2.71,18,29,100.0,100.0,0,1,0,0.6827731
545,11,0.0,1.74,24,27,34.375,12.5,0,1,21,0.26260504
546,32,2.68,1.66,19,23,100.0,100.0,1,0,0,-0.5777311
547,25,0.625,2.22,23,24,78.125,100.0,0,0,7,-0.36764705
548,29,2.89,3.05,23,25,90.625,100.0,0,1,3,-0.15756303
549,13,1.96,2.06,22,25,40.625,37.5,0,0,19,-0.15756303
550,27,2.47,2.9,18,27,84.375,87.5,0,0,5,0.26260504
551,30,3.1,2.63,22,25,93.75,100.0,0,1,2,-0.15756303
552,28,2.15,2.28,23,27,87.5,100.0,1,0,4,0.26260504
553,9,0.321,1.79,21,26,28.125,62.5,0,0,23,0.05252101
554,21,2.7,2.8,26,22,65.625,100.0,0,0,11,-0.78781515
555,30,3.13,2.91,26,29,93.75,87.5,0,1,2,0.6827731
556,19,3.12,1.6,20,33,59.375,75.0,1,0,13,1.5231092
557,17,2.63,1.35,26,23,53.125,62.5,0,0,15,-0.5777311
558,30,2.96,3.18,25,28,93.75,100.0,0,1,2,0.47268906
559,31,2.8,2.92,20,22,96.875,100.0,0,1,1,-0.78781515
560,31,3.86,3.05,27,34,96.875,100.0,0,0,1,1.7331933
561,29,2.9,3.09,24,22,90.625,100.0,0,1,3,-0.78781515
562,18,2.43,2.6,16,29,56.25,37.5,0,1,14,0.6827731
563,30,2.89,2.43,17,28,93.75,100.0,1,0,2,0.47268906
564,24,2.38,2.67,25,21,75.0,75.0,1,0,8,-0.9978992
565,14,0.867,1.63,25,23,43.75,62.5,0,1,18,-0.5777311
566,30,2.5,2.65,20,24,93.75,100.0,1,0,2,-0.36764705
567,31,3.55,3.25,23,27,96.875,100.0,0,1,1,0.26260504
568,28,3.5,3.65,20,29,87.5,50.0,1,0,4,0.6827731
569,30,1.61,2.05,23,18,93.75,87.5,0,1,2,-1.6281513
570,27,2.69,2.16,23,25,84.375,100.0,0,1,5,-0.15756303
571,19,2.65,1.55,22,34,59.375,62.5,1,0,13,1.7331933
572,29,2.85,2.75,20,28,90.625,100.0,0,0,3,0.47268906
573,31,2.25,2.66,18,25,96.875,100.0,0,1,1,-0.15756303
574,28,2.96,2.8,23,32,87.5,100.0,0,0,4,1.3130252
575,29,3.64,3.08,17,31,90.625,100.0,0,1,3,1.1029412
576,27,2.63,2.14,20,21,84.375,75.0,0,1,5,-0.9978992
577,29,3.46,3.49,27,29,90.625,100.0,0,0,3,0.6827731
578,12,2.0,1.43,25,24,37.5,75.0,0,0,20,-0.36764705
579,28,2.5,2.43,19,23,87.5,100.0,1,0,4,-0.5777311
580,31,2.9,2.3,21,16,96.875,100.0,0,1,1,-2.0483193
581,30,2.77,2.78,18,27,93.75,100.0,0,1,2,0.26260504
582,25,2.29,2.36,18,23,78.125,62.5,0,1,7,-0.5777311
583,26,2.5,2.86,22,23,81.25,87.5,0,0,6,-0.5777311
584,30,2.83,2.8,24,25,93.75,100.0,0,1,2,-0.15756303
585,32,3.07,2.42,25,26,100.0,100.0,0,1,0,0.05252101
586,30,3.25,3.88,26,32,93.75,100.0,0,1,2,1.3130252
587,26,3.62,3.28,29,36,81.25,100.0,1,0,6,2.1533613
588,30,2.81,1.98,15,28,93.75,100.0,1,0,2,0.47268906
589,32,3.0,2.96,19,26,100.0,100.0,0,1,0,0.05252101
590,29,2.69,2.86,27,25,90.625,100.0,0,1,3,-0.15756303
591,28,1.18,2.16,22,29,87.5,100.0,0,1,4,0.6827731
592,31,1.93,2.3,19,21,96.875,100.0,1,0,1,-0.9978992
593,15,0.923,1.48,22,19,46.875,12.5,1,0,17,-1.4180672
594,30,3.5,2.98,26,27,93.75,87.5,0,1,2,0.26260504
595,25,2.79,3.48,26,26,78.125,100.0,0,1,7,0.05252101
596,15,0.6,1.67,24,22,46.875,37.5,0,1,17,-0.78781515
597,28,2.8,3.91,26,29,87.5,100.0,1,0,4,0.6827731
598,32,2.9,3.25,20,25,100.0,100.0,0,0,0,-0.15756303
599,28,2.5,2.25,19,22,87.5,87.5,0,0,4,-0.78781515
600,31,2.6,2.66,21,25,96.875,100.0,0,1,1,-0.15756303
601,15,2.63,2.48,27,26,46.875,100.0,0,1,17,0.05252101
602,27,2.33,3.07,28,28,84.375,62.5,0,1,5,0.47268906
603,30,3.64,2.5,20,32,93.75,100.0,0,1,2,1.3130252
604,31,2.79,2.67,17,21,96.875,100.0,1,0,1,-0.9978992
605,16,1.23,2.95,27,24,50.0,12.5,0,1,16,-0.36764705
606,30,2.65,2.57,18,25,93.75,100.0,0,1,2,-0.15756303
607,30,2.39,2.5,20,23,93.75,75.0,1,0,2,-0.5777311
608,30,2.63,2.54,25,26,93.75,100.0,1,0,2,0.05252101
609,28,3.08,2.17,21,26,87.5,87.5,1,0,4,0.05252101
610,30,1.94,2.66,23,20,93.75,100.0,1,0,2,-1.2079831
611,25,2.63,2.2,18,25,78.125,100.0,0,0,7,-0.15756303
612,30,3.04,3.36,20,23,93.75,100.0,0,1,2,-0.5777311
613,16,1.85,2.24,23,22,50.0,37.5,0,1,16,-0.78781515
614,27,2.93,2.03,24,28,84.375,37.5,0,1,5,0.47268906
615,24,2.92,3.1,22,24,75.0,100.0,0,1,8,-0.36764705
616,16,2.2,2.0,22,29,50.0,12.5,0,1,16,0.6827731
617,10,0.8,1.8,21,17,31.25,12.5,0,1,22,-1.8382353
618,28,2.25,2.52,20,24,87.5,75.0,0,0,4,-0.36764705
619,30,3.47,2.97,30,35,93.75,100.0,0,1,2,1.9432774
620,11,2.05,2.27,20,22,34.375,75.0,1,0,21,-0.78781515
621,27,3.42,3.13,25,24,84.375,87.5,1,0,5,-0.36764705
622,27,2.11,2.16,25,31,84.375,87.5,0,0,5,1.1029412
623,20,2.47,2.06,20,27,62.5,87.5,1,0,12,0.26260504
624,18,1.14,2.11,20,18,56.25,37.5,0,1,14,-1.6281513
625,10,0.625,2.01,22,24,31.25,50.0,0,1,22,-0.36764705
626,27,3.21,3.24,27,22,84.375,100.0,0,1,5,-0.78781515
627,31,3.77,3.53,23,28,96.875,100.0,0,1,1,0.47268906
628,32,2.86,2.41,17,29,100.0,100.0,0,1,0,0.6827731
629,30,3.27,2.62,24,28,93.75,100.0,0,1,2,0.47268906
630,31,2.79,3.13,25,31,96.875,100.0,0,0,1,1.1029412
631,32,3.27,2.95,22,30,100.0,100.0,0,1,0,0.89285713
632,28,2.74,2.95,22,26,87.5,87.5,0,0,4,0.05252101
633,29,3.89,3.66,27,28,90.625,100.0,0,1,3,0.47268906
634,17,2.07,2.05,23,24,53.125,62.5,1,0,15,-0.36764705
635,26,3.88,3.08,27,36,81.25,100.0,0,0,6,2.1533613
636,18,2.81,2.28,22,24,56.25,87.5,0,1,14,-0.36764705
637,28,2.54,2.39,19,22,87.5,100.0,1,0,4,-0.78781515
638,32,3.75,2.56,20,29,100.0,100.0,1,0,0,0.6827731
639,31,1.75,2.21,20,23,96.875,100.0,0,0,1,-0.5777311
640,18,2.8,2.86,26,25,56.25,75.0,0,1,14,-0.15756303
641,24,3.37,2.95,26,28,75.0,75.0,0,1,8,0.47268906
642,30,3.25,3.0,21,27,93.75,100.0,1,0,2,0.26260504
643,31,3.7,3.41,28,34,96.875,100.0,0,1,1,1.7331933
644,32,3.04,3.0,21,28,100.0,100.0,0,1,0,0.47268906
645,26,1.77,1.38,21,21,81.25,100.0,1,0,6,-0.9978992
646,21,1.88,2.27,27,20,65.625,37.5,1,0,11,-1.2079831
647,25,2.39,2.42,28,23,78.125,62.5,1,0,7,-0.5777311
648,23,2.97,2.62,20,34,71.875,100.0,0,1,9,1.7331933
649,29,2.42,3.01,24,26,90.625,100.0,0,0,3,0.05252101
650,16,0.462,1.95,19,22,50.0,62.5,0,0,16,-0.78781515
651,31,3.11,2.83,24,25,96.875,100.0,0,1,1,-0.15756303
652,24,2.88,3.05,20,31,75.0,87.5,0,1,8,1.1029412
653,18,2.1,2.51,22,21,56.25,50.0,0,0,14,-0.9978992
654,17,1.32,1.48,23,22,53.125,62.5,0,1,15,-0.78781515
655,29,1.77,1.94,20,26,90.625,100.0,0,1,3,0.05252101
656,28,2.64,2.46,21,26,87.5,100.0,0,1,4,0.05252101
657,23,3.35,3.5,28,26,71.875,87.5,0,1,9,0.05252101
658,19,1.25,2.18,23,22,59.375,37.5,0,0,13,-0.78781515
659,31,3.18,2.48,21,27,96.875,100.0,0,0,1,0.26260504
660,18,3.11,3.33,27,32,56.25,37.5,0,1,14,1.3130252
661,27,3.0,2.83,26,27,84.375,100.0,0,0,5,0.26260504
662,26,2.65,2.65,22,27,81.25,87.5,0,1,6,0.26260504
663,31,2.05,2.5,15,16,96.875,100.0,0,1,1,-2.0483193
664,31,3.77,3.78,25,34,96.875,100.0,0,1,1,1.7331933
665,32,3.57,3.54,19,26,100.0,100.0,0,1,0,0.05252101
666,29,2.97,3.07,27,25,90.625,87.5,0,1,3,-0.15756303
667,30,3.27,3.72,28,30,93.75,87.5,0,1,2,0.89285713
668,23,2.46,2.48,24,28,71.875,100.0,0,0,9,0.47268906
669,26,2.75,3.1,24,26,81.25,100.0,0,0,6,0.05252101
670,31,3.43,3.5,23,26,96.875,100.0,0,1,1,0.05252101
671,24,2.73,1.96,22,22,75.0,100.0,0,1,8,-0.78781515
672,19,0.85,1.84,18,26,59.375,50.0,0,0,13,0.05252101
673,31,2.61,2.73,27,23,96.875,87.5,0,1,1,-0.5777311
674,29,3.41,3.48,27,26,90.625,100.0,0,1,3,0.05252101
675,25,1.0,2.31,18,22,78.125,100.0,0,1,7,-0.78781515
676,32,2.69,2.38,19,19,100.0,100.0,0,1,0,-1.4180672
677,32,3.66,3.61,22,30,100.0,100.0,0,1,0,0.89285713
678,28,3.17,3.02,24,27,87.5,100.0,0,1,4,0.26260504
679,14,1.8,1.19,24,29,43.75,62.5,1,0,18,0.6827731
