,year,fcode,employ,sales,avgsal,scrap,rework,tothrs,union,grant,d89,d88,totrain,hrsemp,lscrap,lemploy,lsales,lrework,lhrsemp,lscrap_1,grant_1,clscrap,cgrant,clemploy,clsales,lavgsal,clavgsal,cgrant_1,chrsemp,clhrsemp
0,1987,410032.0,100.0,47000000.0,35000.0,,,12.0,0,0,0,0,100.0,12.0,,4.6051702,17.665659,,2.5649493,,0,,0,,,10.463103,,,,
1,1988,410032.0,131.0,43000000.0,37000.0,,,8.0,0,0,0,1,50.0,3.053435,,4.8751974,17.57671,,1.3995647,,0,,0,0.27002716,-0.0889492,10.518673,0.05556965,0.0,-8.946565,-1.1653845
2,1989,410032.0,123.0,49000000.0,39000.0,,,8.0,0,0,1,0,50.0,3.2520325,,4.8121843,17.70733,,1.4473971,,0,,0,-0.06301308,0.13062096,10.571317,0.052643776,0.0,0.19859743,0.04783237
3,1987,410440.0,12.0,1560000.0,10500.0,,,12.0,0,0,0,0,12.0,12.0,,2.4849067,14.260197,,2.5649493,,0,,0,,,9.2591305,,,,
4,1988,410440.0,13.0,1970000.0,11000.0,,,12.0,0,0,0,1,13.0,12.0,,2.5649493,14.493544,,2.5649493,,0,,0,0.0800426,0.23334694,9.305651,0.046520233,0.0,0.0,0.0
5,1989,410440.0,14.0,2350000.0,11500.0,,,10.0,0,0,1,0,14.0,10.0,,2.6390574,14.669926,,2.3978953,,0,,0,0.074108124,0.17638206,9.350102,0.044451714,0.0,-2.0,-0.16705394
6,1987,410495.0,20.0,750000.0,17680.0,,,50.0,0,0,0,0,15.0,37.5,,2.9957323,13.527828,,3.6506581,,0,,0,,,9.7801895,,,,
7,1988,410495.0,25.0,110000.0,18720.0,,,50.0,0,0,0,1,10.0,20.0,,3.218876,11.608235,,3.0445225,,0,,0,0.22314358,-1.9195929,9.837348,0.05715847,0.0,-17.5,-0.6061356
8,1989,410495.0,24.0,950000.0,19760.0,,,50.0,0,0,1,0,20.0,41.666668,,3.1780539,13.764217,,3.753418,,0,,0,-0.04082203,2.155982,9.891415,0.054066658,0.0,21.666668,0.70889544
9,1987,410500.0,200.0,23741000.0,13729.0,,,0.0,0,0,0,0,0.0,0.0,,5.2983174,16.982714,,0.0,,0,,0,,,9.527266,,,,
10,1988,410500.0,155.0,19659000.0,14287.0,,,0.0,0,0,0,1,0.0,0.0,,5.043425,16.794046,,0.0,,0,,0,-0.25489235,-0.1886673,9.567105,0.039839745,0.0,0.0,0.0
11,1989,410500.0,80.0,25992000.0,15758.0,,,24.0,0,0,1,0,20.0,6.0,,4.3820267,17.0733,,1.9459101,,0,,0,-0.6613984,0.279253,9.665104,0.09799862,0.0,6.0,1.9459101
12,1987,410501.0,,6000000.0,,,,0.0,0,0,0,0,10.0,,,,15.60727,,,,0,,0,,,,,,,
13,1988,410501.0,,8000000.0,,,,0.0,0,0,0,1,20.0,,,,15.894952,,,,0,,0,,0.28768158,,,0.0,,
14,1989,410501.0,,10000000.0,,,,0.0,0,0,1,0,25.0,,,,16.118095,,,,0,,0,,0.22314358,,,0.0,,
15,1987,410509.0,,,,,,0.0,0,0,0,0,0.0,,,,,,,,0,,0,,,,,,,
16,1988,410509.0,,2800000.0,18000.0,,,0.0,0,0,0,1,0.0,,,,14.84513,,,,0,,0,,,9.798127,,0.0,,
17,1989,410509.0,20.0,3400000.0,18500.0,,,0.0,0,0,1,0,0.0,0.0,,2.9957323,15.039286,,0.0,,0,,0,,0.1941557,9.825526,0.027399063,0.0,,
18,1987,410513.0,15.0,1413900.0,18465.0,,,0.0,0,0,0,0,0.0,0.0,,2.7080503,14.161862,,0.0,,0,,0,,,9.823632,,,,
19,1988,410513.0,16.0,1869348.0,18972.0,,,0.0,0,0,0,1,0.0,0.0,,2.7725887,14.4411,,0.0,,0,,0,0.06453848,0.27923775,9.850719,0.027087212,0.0,0.0,0.0
20,1989,410513.0,16.0,1857765.0,19589.0,,,20.0,0,0,1,0,16.0,20.0,,2.7725887,14.434885,,3.0445225,,0,,0,0.0,-0.0062150955,9.882724,0.032004356,0.0,20.0,3.0445225
21,1987,410517.0,24.0,,13000.0,,,0.0,1,0,0,0,0.0,0.0,,3.1780539,,,0.0,,0,,0,,,9.472705,,,,
22,1988,410517.0,20.0,,12168.0,,,0.0,1,0,0,1,0.0,0.0,,2.9957323,,,0.0,,0,,0,-0.18232155,,9.406565,-0.066140175,0.0,0.0,0.0
23,1989,410517.0,18.0,,11960.0,,,0.0,1,0,1,0,0.0,0.0,,2.8903718,,,0.0,,0,,0,-0.10536051,,9.389323,-0.017241478,0.0,0.0,0.0
24,1987,410518.0,48.0,2160900.0,14352.0,,,14.0,0,0,0,0,3.0,0.875,,3.871201,14.586036,,0.62860864,,0,,0,,,9.571645,,,,
25,1988,410518.0,47.0,2454500.0,16328.0,,,14.0,0,0,0,1,3.0,0.89361703,,3.8501475,14.713433,,0.63848877,,0,,0,-0.021053553,0.12739754,9.700637,0.12899208,0.0,0.018617034,0.0098801255
26,1989,410518.0,66.0,3359800.0,17555.0,,,14.0,0,0,1,0,4.0,0.8484849,,4.189655,15.027392,,0.6143663,,0,,0,0.33950734,0.31395912,9.773094,0.07245731,0.0,-0.04513216,-0.024122477
27,1987,410521.0,17.0,1453081.0,16454.0,,,150.0,0,0,0,0,5.0,44.117645,,2.8332133,14.189197,,3.8092735,,0,,0,,,9.7083235,,,,
28,1988,410521.0,16.0,1546911.0,18529.0,,,100.0,0,0,0,1,3.0,18.75,,2.7725887,14.251771,,2.9831536,,0,,0,-0.0606246,0.06257439,9.827092,0.11876869,0.0,-25.367645,-0.8261199
29,1989,410521.0,14.0,1672366.0,26428.0,,,0.0,0,0,1,0,0.0,0.0,,2.6390574,14.32975,,0.0,,0,,0,-0.13353133,0.07797909,10.182179,0.35508728,0.0,-18.75,-2.9831536
30,1987,410523.0,70.0,8000000.0,19760.0,0.06,,40.0,0,0,0,0,35.0,20.0,-2.8134108,4.248495,15.894952,,3.0445225,,0,,0,,,9.891415,,,,
31,1988,410523.0,85.0,11000000.0,22360.0,0.05,,40.0,0,0,0,1,40.0,18.82353,-2.9957323,4.4426513,16.213406,,2.9868696,-2.8134108,0,-0.18232155,0,0.19415617,0.3184538,10.015029,0.12361431,0.0,-1.1764698,-0.05765295
32,1989,410523.0,98.0,15000000.0,23920.0,0.05,,60.0,0,0,1,0,40.0,24.489796,-2.9957323,4.5849676,16.523561,,3.2382782,-2.9957323,0,0.0,0,0.14231634,0.31015587,10.08247,0.06744099,0.0,5.6662655,0.25140858
33,1987,410529.0,45.0,1535242.0,20000.0,,,0.0,0,0,0,0,0.0,0.0,,3.8066626,14.244199,,0.0,,0,,0,,,9.903487,,,,
34,1988,410529.0,47.0,3209188.0,22000.0,,,0.0,0,0,0,1,0.0,0.0,,3.8501475,14.981528,,0.0,,0,,0,0.043484926,0.7373295,9.998797,0.09531021,0.0,0.0,0.0
35,1989,410529.0,51.0,4030352.0,23650.0,,,2.0,0,0,1,0,2.0,0.078431375,,3.9318256,15.209364,,0.07550755,,0,,0,0.08167815,0.22783566,10.071118,0.07232094,0.0,0.078431375,0.07550755
36,1987,410531.0,200.0,10000000.0,17500.0,,5.0,0.0,1,0,0,0,0.0,0.0,,5.2983174,16.118095,1.609438,0.0,,0,,0,,,9.769957,,,,
37,1988,410531.0,200.0,10000000.0,18700.0,,4.0,20.0,1,0,0,1,6.0,0.6,,5.2983174,16.118095,1.3862944,0.47000363,,0,,0,0.0,0.0,9.836279,0.06632233,0.0,0.6,0.47000363
38,1989,410531.0,190.0,9000000.0,18300.0,,2.22,20.0,1,0,1,0,10.0,1.0526316,,5.247024,16.012735,0.7975072,0.7191227,,0,,0,-0.051293373,-0.10536003,9.814656,-0.021622658,0.0,0.4526316,0.24911907
39,1987,410533.0,14.0,1600000.0,11500.0,,,68.0,0,0,0,0,3.0,14.571428,,2.6390574,14.285514,,2.7454376,,0,,0,,,9.350102,,,,
40,1988,410533.0,12.0,900000.0,13000.0,,,75.0,0,0,0,1,5.0,31.25,,2.4849067,13.71015,,3.4735181,,0,,0,-0.15415072,-0.5753641,9.472705,0.12260246,0.0,16.678572,0.7280805
41,1989,410533.0,16.0,1300000.0,14700.0,,,35.0,0,0,1,0,9.0,19.6875,,2.7725887,14.077875,,3.0295296,,0,,0,0.28768206,0.36772537,9.595603,0.1228981,0.0,-11.5625,-0.44398856
42,1987,410535.0,10.0,420664.0,4237.0,,,0.0,0,0,0,0,0.0,0.0,,2.3025851,12.94959,,0.0,,0,,0,,,8.351611,,,,
43,1988,410535.0,11.0,544602.0,7484.0,,,0.0,0,0,0,1,0.0,0.0,,2.3978953,13.20781,,0.0,,0,,0,0.09531021,0.25822067,8.920523,0.56891155,0.0,0.0,0.0
44,1989,410535.0,9.0,495331.0,9548.0,,,0.0,0,0,1,0,0.0,0.0,,2.1972246,13.112982,,0.0,,0,,0,-0.20067072,-0.094828606,9.164087,0.2435646,0.0,0.0,0.0
45,1987,410536.0,15.0,1502502.0,11742.0,,,12.0,0,0,0,0,2.0,1.6,,2.7080503,14.222642,,0.95551145,,0,,0,,,9.370928,,,,
46,1988,410536.0,16.0,1840912.0,12740.0,,,12.0,0,0,0,1,2.0,1.5,,2.7725887,14.425772,,0.91629076,,0,,0,0.06453848,0.20312977,9.452502,0.08157444,0.0,-0.100000024,-0.03922069
47,1989,410536.0,18.0,2273869.0,13700.0,,,8.0,0,0,1,0,3.0,1.3333334,,2.8903718,14.636993,,0.8472979,,0,,0,0.11778307,0.2112217,9.525151,0.072649,0.0,-0.16666663,-0.06899285
48,1987,410538.0,,,19760.0,2.64,,0.0,1,0,0,0,0.0,,0.97077894,,,,,,0,,0,,,9.891415,,,,
49,1988,410538.0,,6276271.0,20800.0,2.74,,0.0,1,0,0,1,0.0,,1.0079579,,15.652287,,,0.97077894,0,0.037178993,0,,,9.942708,0.051293373,0.0,,
50,1989,410538.0,60.0,5286605.0,20800.0,2.54,,30.0,1,0,1,0,50.0,25.0,0.9321641,4.0943446,15.480687,,3.2580965,1.0079579,0,-0.07579386,0,,-0.17159939,9.942708,0.0,0.0,,
51,1987,410540.0,50.0,5200000.0,20000.0,,,0.0,0,0,0,0,0.0,0.0,,3.912023,15.4641695,,0.0,,0,,0,,,9.903487,,,,
52,1988,410540.0,50.0,6500000.0,23000.0,,,0.0,0,0,0,1,0.0,0.0,,3.912023,15.687313,,0.0,,0,,0,0.0,0.22314358,10.043249,0.13976192,0.0,0.0,0.0
53,1989,410540.0,55.0,5600000.0,25000.0,,,0.0,0,0,1,0,0.0,0.0,,4.0073333,15.538278,,0.0,,0,,0,0.09531021,-0.14903545,10.126631,0.08338165,0.0,0.0,0.0
54,1987,410544.0,30.0,,19760.0,,,0.0,0,0,0,0,0.0,0.0,,3.4011974,,,0.0,,0,,0,,,9.891415,,,,
55,1988,410544.0,32.0,,20280.0,,,10.0,0,0,0,1,4.0,1.25,,3.465736,,,0.8109302,,0,,0,0.06453848,,9.917391,0.025976181,0.0,1.25,0.8109302
56,1989,410544.0,34.0,,20800.0,,,10.0,0,0,1,0,6.0,1.7647059,,3.5263605,,,1.0169343,,0,,0,0.0606246,,9.942708,0.025317192,0.0,0.5147059,0.20600408
57,1987,410546.0,153.0,10000000.0,12500.0,,,8.0,0,0,0,0,7.0,0.36601308,,5.030438,16.118095,,0.31189632,,0,,0,,,9.433484,,,,
58,1988,410546.0,134.0,11000000.0,13000.0,,,8.0,0,0,0,1,6.0,0.35820895,,4.89784,16.213406,,0.3061669,,0,,0,-0.13259792,0.09531021,9.472705,0.03922081,0.0,-0.0078041255,-0.005729437
59,1989,410546.0,146.0,12000000.0,13500.0,,,40.0,0,0,1,0,28.0,7.6712327,,4.983607,16.300417,,2.160011,,0,,0,0.08576679,0.08701134,9.510445,0.037739754,0.0,7.3130236,1.8538442
60,1987,410547.0,20.0,2300000.0,20000.0,,10.0,0.0,0,0,0,0,0.0,0.0,,2.9957323,14.648419,2.3025851,0.0,,0,,0,,,9.903487,,,,
61,1988,410547.0,23.0,2500000.0,23000.0,,10.0,0.0,0,0,0,1,0.0,0.0,,3.1354942,14.731801,2.3025851,0.0,,0,,0,0.13976192,0.08338165,10.043249,0.13976192,0.0,0.0,0.0
62,1989,410547.0,25.0,3000000.0,25000.0,,10.0,48.0,0,0,1,0,1.0,1.92,,3.218876,14.914123,2.3025851,1.0715836,,0,,0,0.08338165,0.18232155,10.126631,0.08338165,0.0,1.92,1.0715836
63,1987,410556.0,,,,,,0.0,0,0,0,0,0.0,,,,,,,,0,,0,,,,,,,
64,1988,410556.0,,,,,,0.0,0,0,0,1,0.0,,,,,,,,0,,0,,,,,0.0,,
65,1989,410556.0,131.0,7588770.0,16640.0,,,0.0,0,0,1,0,0.0,0.0,,4.8751974,15.84218,,0.0,,0,,0,,,9.719564,,0.0,,
66,1987,410560.0,22.0,725000.0,9000.0,,,0.0,0,0,0,0,0.0,0.0,,3.0910425,13.493927,,0.0,,0,,0,,,9.1049795,,,,
67,1988,410560.0,25.0,785000.0,9000.0,,,0.0,0,0,0,1,0.0,0.0,,3.218876,13.573439,,0.0,,0,,0,0.12783337,0.07951164,9.1049795,0.0,0.0,0.0,0.0
68,1989,410560.0,23.0,785000.0,10000.0,,,0.0,0,0,1,0,0.0,0.0,,3.1354942,13.573439,,0.0,,0,,0,-0.08338165,0.0,9.2103405,0.105360985,0.0,0.0,0.0
69,1987,410561.0,6.0,501859.0,,,,0.0,0,0,0,0,0.0,0.0,,1.7917595,13.126075,,0.0,,0,,0,,,,,,,
70,1988,410561.0,6.0,580415.0,,,,0.0,0,0,0,1,0.0,0.0,,1.7917595,13.271499,,0.0,,0,,0,0.0,0.14542389,,,0.0,0.0,0.0
71,1989,410561.0,9.0,735442.0,,,,64.0,0,0,1,0,1.0,7.111111,,2.1972246,13.508227,,2.0932348,,0,,0,0.40546513,0.23672867,,,0.0,7.111111,2.0932348
72,1987,410562.0,15.0,4000000.0,32000.0,,,10.0,0,0,0,0,2.0,1.3333334,,2.7080503,15.201805,,0.8472979,,0,,0,,,10.373491,,,,
73,1988,410562.0,18.0,5000000.0,34000.0,,,10.0,0,0,0,1,2.0,1.1111112,,2.8903718,15.424949,,0.74721444,,0,,0,0.18232155,0.22314358,10.434115,0.060624123,0.0,-0.22222221,-0.10008347
74,1989,410562.0,19.0,7000000.0,38000.0,,,25.0,0,0,1,0,6.0,7.894737,,2.944439,15.76142,,2.1854596,,0,,0,0.054067135,0.33647156,10.5453415,0.11122608,0.0,6.7836256,1.4382452
75,1987,410563.0,73.0,5300000.0,21500.0,6.0,,0.0,1,0,0,0,0.0,0.0,1.7917595,4.2904596,15.483217,,0.0,,0,,0,,,9.975808,,,,
76,1988,410563.0,76.0,5800000.0,22200.0,7.0,,0.0,1,0,0,1,0.0,0.0,1.9459101,4.3307333,15.573368,,0.0,1.7917595,0,0.1541506,0,0.040273666,0.09015083,10.007848,0.032039642,0.0,0.0,0.0
77,1989,410563.0,80.0,6400000.0,23000.0,5.0,,50.0,1,0,1,0,8.0,5.0,1.609438,4.3820267,15.671808,,1.7917595,1.9459101,0,-0.33647215,0,0.051293373,0.09844017,10.043249,0.035401344,0.0,5.0,1.7917595
78,1987,410564.0,160.0,,20000.0,,4.3,20.0,0,0,0,0,15.0,1.875,,5.075174,,1.4586151,1.0560527,,0,,0,,,9.903487,,,,
79,1988,410564.0,150.0,,21000.0,,4.1,20.0,0,0,0,1,20.0,2.6666667,,5.0106354,,1.4109869,1.299283,,0,,0,-0.06453848,,9.952278,0.04879093,0.0,0.79166675,0.24323034
80,1989,410564.0,150.0,,22000.0,,4.0,25.0,0,0,1,0,35.0,5.8333335,,5.0106354,,1.3862944,1.9218127,,0,,0,0.0,,9.998797,0.04651928,0.0,3.1666667,0.6225296
81,1987,410565.0,90.0,,20620.0,21.0,,0.0,1,0,0,0,0.0,0.0,3.0445225,4.4998097,,,0.0,,0,,0,,,9.934017,,,,
82,1988,410565.0,112.0,21780000.0,20180.0,11.0,,0.0,1,0,0,1,0.0,0.0,2.3978953,4.7184987,16.896503,,0.0,3.0445225,0,-0.6466272,0,0.21868896,,9.912447,-0.021570206,0.0,0.0,0.0
83,1989,410565.0,128.0,25829000.0,21500.0,0.4,,16.0,1,0,1,0,128.0,16.0,-0.9162907,4.8520303,17.067009,,2.8332133,2.3978953,0,-3.314186,0,0.13353157,0.17050552,9.975808,0.06336117,0.0,16.0,2.8332133
84,1987,410566.0,14.0,2101581.0,14850.0,7.0,,8.0,0,0,0,0,12.0,6.857143,1.9459101,2.6390574,14.558201,,2.061423,,0,,0,,,9.605755,,,,
85,1988,410566.0,16.0,2400723.0,18100.0,5.0,,3.0,0,0,0,1,10.0,1.875,1.609438,2.7725887,14.69128,,1.0560527,1.9459101,0,-0.33647215,0,0.13353133,0.13307953,9.803667,0.19791222,0.0,-4.982143,-1.0053704
86,1989,410566.0,13.0,2470633.0,20500.0,4.5,,4.0,0,0,1,0,10.0,3.0769231,1.5040774,2.5649493,14.719985,,1.4053426,1.609438,0,-0.10536051,0,-0.20763946,0.028704643,9.92818,0.12451267,0.0,1.2019231,0.3492899
87,1987,410567.0,40.0,3000000.0,10000.0,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,3.6888795,14.914123,-0.6931472,0.0,,0,,0,,,9.2103405,,,,
88,1988,410567.0,48.0,3800000.0,11000.0,0.5,0.25,0.0,0,0,0,1,0.0,0.0,-0.6931472,3.871201,15.150512,-1.3862944,0.0,0.0,0,-0.6931472,0,0.18232155,0.23638916,9.305651,0.09531021,0.0,0.0,0.0
89,1989,410567.0,50.0,3100000.0,11500.0,0.28,0.13,16.0,0,0,1,0,50.0,16.0,-1.2729657,3.912023,14.946913,-2.040221,2.8332133,-0.6931472,0,-0.5798185,0,0.04082203,-0.20359898,9.350102,0.044451714,0.0,16.0,2.8332133
90,1987,410569.0,20.0,,26000.0,,,0.0,0,0,0,0,0.0,0.0,,2.9957323,,,0.0,,0,,0,,,10.165852,,,,
91,1988,410569.0,24.0,,28000.0,,,0.0,0,0,0,1,0.0,0.0,,3.1780539,,,0.0,,0,,0,0.18232155,,10.23996,0.074108124,0.0,0.0,0.0
92,1989,410569.0,30.0,,30000.0,,,0.0,0,0,1,0,0.0,0.0,,3.4011974,,,0.0,,0,,0,0.22314358,,10.308952,0.068992615,0.0,0.0,0.0
93,1987,410571.0,17.0,755050.0,10400.0,,0.01,25.0,0,0,0,0,17.0,25.0,,2.8332133,13.534539,-4.6051702,3.2580965,,0,,0,,,9.249561,,,,
94,1988,410571.0,15.0,1102723.0,10400.0,,0.01,25.0,0,0,0,1,15.0,25.0,,2.7080503,13.913293,-4.6051702,3.2580965,,0,,0,-0.12516308,0.37875366,9.249561,0.0,0.0,0.0,0.0
95,1989,410571.0,20.0,1073785.0,10400.0,,0.01,25.0,0,0,1,0,10.0,12.5,,2.9957323,13.886701,-4.6051702,2.6026897,,0,,0,0.28768206,-0.026592255,9.249561,0.0,0.0,-12.5,-0.6554067
96,1987,410577.0,75.0,4750000.0,16120.0,1.68,1.89,3.0,0,0,0,0,30.0,1.2,0.51879376,4.317488,15.373655,0.63657683,0.7884574,,0,,0,,,9.687816,,,,
97,1988,410577.0,80.0,5100000.0,16432.0,1.57,1.76,4.0,0,0,0,1,35.0,1.75,0.45107564,4.3820267,15.444751,0.5653138,1.011601,0.51879376,0,-0.06771812,0,0.06453848,0.07109547,9.706985,0.019169807,0.0,0.54999995,0.22314358
98,1989,410577.0,94.0,5500000.0,16640.0,1.64,1.82,4.0,0,0,1,0,35.0,1.4893616,0.49469623,4.543295,15.520259,0.59883654,0.9120263,0.45107564,0,0.043620586,0,0.16126823,0.07550812,9.719564,0.012578964,0.0,-0.26063836,-0.099574685
99,1987,410586.0,116.0,11000000.0,23500.0,,,47.0,0,0,0,0,96.0,38.896553,,4.75359,16.213406,,3.68629,,0,,0,,,10.064755,,,,
100,1988,410586.0,114.0,11000000.0,24000.0,,,47.0,0,0,0,1,94.0,38.754387,,4.7361984,16.213406,,3.6827202,,0,,0,-0.017391682,0.0,10.085809,0.021053314,0.0,-0.14216614,-0.0035698414
101,1989,410586.0,119.0,11000000.0,24600.0,,,47.0,0,0,1,0,99.0,39.10084,,4.7791233,16.213406,,3.6913974,,0,,0,0.04292488,0.0,10.110501,0.024692535,0.0,0.34645462,0.008677244
102,1987,410591.0,25.0,,12180.0,,,0.0,0,0,0,0,0.0,0.0,,3.218876,,,0.0,,0,,0,,,9.407551,,,,
103,1988,410591.0,33.0,,13000.0,,,50.0,0,0,0,1,1.0,1.5151515,,3.4965076,,,0.92233306,,0,,0,0.27763176,,9.472705,0.065154076,0.0,1.5151515,0.92233306
104,1989,410591.0,37.0,,14500.0,,,40.0,0,0,1,0,2.0,2.162162,,3.6109178,,,1.151256,,0,,0,0.11441016,,9.581903,0.10919857,0.0,0.64701056,0.2289229
105,1987,410592.0,20.0,,,30.0,40.0,,0,0,0,0,20.0,,3.4011974,2.9957323,,3.6888795,,,0,,0,,,,,,,
106,1988,410592.0,20.0,,,24.0,27.0,,0,0,0,1,20.0,,3.1780539,2.9957323,,3.295837,,3.4011974,0,-0.22314358,0,0.0,,,,0.0,,
107,1989,410592.0,10.0,,,20.0,15.0,,0,0,1,0,10.0,,2.9957323,2.3025851,,2.7080503,,3.1780539,0,-0.18232155,0,-0.6931472,,,,0.0,,
108,1987,410593.0,5.0,3500000.0,,1.0,,0.0,0,0,0,0,0.0,0.0,0.0,1.609438,15.068274,,0.0,,0,,0,,,,,,,
109,1988,410593.0,5.0,3800000.0,,1.0,,0.0,0,0,0,1,0.0,0.0,0.0,1.609438,15.150512,,0.0,0.0,0,0.0,0,0.0,0.0822382,,,0.0,0.0,0.0
110,1989,410593.0,5.0,4000000.0,,1.0,,0.0,0,0,1,0,0.0,0.0,0.0,1.609438,15.201805,,0.0,0.0,0,0.0,0,0.0,0.051293373,,,0.0,0.0,0.0
111,1987,410596.0,8.0,990400.0,12480.0,10.0,,10.0,0,0,0,0,8.0,10.0,2.3025851,2.0794415,13.805864,,2.3978953,,0,,0,,,9.431883,,,,
112,1988,410596.0,16.0,1166100.0,13520.0,6.0,,12.0,0,0,0,1,16.0,12.0,1.7917595,2.7725887,13.969175,,2.5649493,2.3025851,0,-0.51082563,0,0.6931472,0.163311,9.511926,0.08004284,0.0,2.0,0.16705394
113,1989,410596.0,20.0,1815900.0,14560.0,4.0,,14.0,0,0,1,0,20.0,14.0,1.3862944,2.9957323,14.412092,,2.7080503,1.7917595,0,-0.40546513,0,0.22314358,0.44291687,9.586033,0.07410717,0.0,2.0,0.14310098
114,1987,410603.0,10.0,1212478.0,12700.0,,,105.0,0,0,0,0,4.0,42.0,,2.3025851,14.008177,,3.7612002,,0,,0,,,9.449357,,,,
115,1988,410603.0,14.0,1159622.0,13600.0,,,105.0,0,0,0,1,3.0,22.5,,2.6390574,13.963605,,3.1570003,,0,,0,0.33647227,-0.044571877,9.517825,0.068468094,0.0,-19.5,-0.6041999
116,1989,410603.0,17.0,1612170.0,14900.0,,,,0,0,1,0,0.0,,,2.8332133,14.293092,,,,0,,0,0.19415593,0.32948685,9.609117,0.09129143,0.0,,
117,1987,410604.0,60.0,,8320.0,,,0.0,0,0,0,0,0.0,0.0,,4.0943446,,,0.0,,0,,0,,,9.026418,,,,
118,1988,410604.0,100.0,,8940.0,,,0.0,0,0,0,1,0.0,0.0,,4.6051702,,,0.0,,0,,0,0.51082563,,9.09829,0.07187271,0.0,0.0,0.0
