,rank,salary,cost,LSAT,GPA,libvol,faculty,age,clsize,north,south,east,west,lsalary,studfac,top10,r11_25,r26_40,r41_60,llibvol,lcost
0,128,31400.0,8340.0,155.0,3.15,216.0,45.0,12.0,210.0,1,0,0,0,10.354563,4.6666665,0,0,0,0,5.3752785,9.028818
1,104,33098.0,6980.0,160.0,3.5,256.0,44.0,113.0,190.0,0,1,0,0,10.407228,4.318182,0,0,0,0,5.5451775,8.850804
2,34,32870.0,16370.0,155.0,3.25,424.0,78.0,134.0,270.0,0,0,1,0,10.400315,3.4615386,0,0,1,0,6.0497336,9.703206
3,49,35000.0,17566.0,157.0,3.2,329.0,136.0,89.0,277.0,0,0,1,0,10.463103,2.0367646,0,0,0,1,5.7960577,9.773721
4,95,33606.0,8350.0,162.0,3.38,332.0,56.0,70.0,150.0,0,0,0,1,10.42246,2.6785715,0,0,0,0,5.805135,9.030017
5,98,31700.0,8350.0,161.0,3.4,311.0,40.0,29.0,156.0,0,0,0,1,10.364072,3.9,0,0,0,0,5.739793,9.030017
6,124,30410.0,6020.0,155.0,3.16,220.0,40.0,61.0,151.0,0,1,0,0,10.322527,3.775,0,0,0,0,5.3936276,8.702843
7,157,30150.0,5986.0,152.0,3.12,230.0,45.0,60.0,149.0,0,1,0,0,10.31394,3.3111112,0,0,0,0,5.4380794,8.697179
8,145,31300.0,4785.0,155.0,3.12,230.0,101.0,70.0,322.0,0,0,1,0,10.351374,3.1881187,0,0,0,0,5.4380794,8.473241
9,91,33200.0,7680.0,160.0,3.66,157.0,44.0,128.0,70.0,0,1,0,0,10.410305,1.5909091,0,0,0,0,5.056246,8.946375
10,50,34900.0,17720.0,165.0,3.55,320.0,78.0,56.0,269.0,0,0,1,0,10.460242,3.4487178,0,0,0,1,5.768321,9.782449
11,23,55413.0,16160.0,163.0,3.42,470.0,128.0,115.0,381.0,0,0,1,0,10.922569,2.9765625,0,1,0,0,6.152733,9.690294
12,78,33750.0,6300.0,162.0,3.6,330.0,48.0,,153.0,0,0,0,1,10.426736,3.1875,0,0,0,0,5.799093,8.748305
13,5,65000.0,11387.0,167.0,3.7,600.0,80.0,,269.0,0,0,0,1,11.082143,3.3625,1,0,0,0,6.3969297,9.340228
14,27,,12058.0,164.0,3.45,371.0,38.0,20.0,160.0,0,0,0,1,,4.2105265,0,0,1,0,5.916202,9.397484
15,19,62000.0,12478.0,163.0,3.55,542.0,114.0,107.0,419.0,0,0,0,1,11.034889,3.6754386,0,1,0,0,6.295266,9.431723
16,13,63000.0,12202.0,165.0,3.57,470.0,96.0,,350.0,0,0,0,1,11.05089,3.6458333,0,1,0,0,6.152733,9.409355
17,115,31300.0,15700.0,156.0,3.2,208.0,80.0,,375.0,0,0,0,1,10.351374,4.6875,0,0,0,0,5.3375382,9.661416
18,171,28500.0,11750.0,156.0,3.2,147.0,35.0,9.0,119.0,0,0,1,0,10.257659,3.4,0,0,0,0,4.9904327,9.371609
19,131,30100.0,12927.0,154.0,3.25,215.0,31.0,,262.0,1,0,0,0,10.312281,8.451612,0,0,0,0,5.370638,9.467073
20,72,33650.0,16545.0,160.0,3.3,352.0,72.0,,255.0,0,0,1,0,10.423768,3.5416667,0,0,0,0,5.8636312,9.71384
21,55,40325.0,16680.0,158.0,3.3,305.0,,93.0,220.0,1,0,0,0,10.604727,,0,0,0,1,5.7203116,9.721966
22,4,70000.0,19392.0,168.0,3.75,555.0,40.0,,178.0,1,0,0,0,11.156251,4.45,1,0,0,0,6.3189683,9.872616
23,90,32800.0,11268.0,162.0,3.37,339.0,51.0,152.0,134.0,1,0,0,0,10.398184,2.627451,0,0,0,0,5.826,9.329722
24,133,,10808.0,,,290.0,72.0,26.0,300.0,1,0,0,0,,4.1666665,0,0,0,0,5.669881,9.288042
25,65,35000.0,12537.0,164.0,3.31,280.0,62.0,,167.0,0,0,0,1,10.463103,2.6935484,0,0,0,0,5.6347895,9.4364395
26,7,78325.0,20518.0,168.0,3.6,735.0,101.0,,345.0,0,0,1,0,11.268622,3.4158416,1,0,0,0,6.5998707,9.929058
27,84,,16036.0,160.0,3.29,383.0,95.0,,133.0,0,0,1,0,,1.4,0,0,0,0,5.948035,9.682591
28,10,67500.0,19200.0,163.0,3.55,400.0,56.0,,191.0,0,0,1,0,11.119883,3.4107144,1,0,0,0,5.9914646,9.862665
29,112,,12376.0,154.0,3.2,198.0,51.0,107.0,188.0,0,0,0,1,,3.6862745,0,0,0,0,5.288267,9.423514
30,137,29800.0,13850.0,156.0,3.1,210.0,58.0,38.0,235.0,0,1,0,0,10.302263,4.051724,0,0,0,0,5.3471074,9.53604
31,141,28900.0,13384.0,155.0,3.2,208.0,27.0,,185.0,1,0,0,0,10.271597,6.851852,0,0,0,0,5.3375382,9.501815
32,47,42300.0,15221.0,158.0,3.2,275.0,83.0,,341.0,0,0,0,1,10.652542,4.1084337,0,0,0,1,5.616771,9.630431
33,82,32900.0,14115.0,158.0,3.27,312.0,109.0,,373.0,1,0,0,0,10.401228,3.4220183,0,0,0,0,5.7430034,9.554994
34,144,29200.0,,155.0,3.0,200.0,60.0,94.0,146.0,1,0,0,0,10.281924,2.4333334,0,0,0,0,5.2983174,
35,76,34500.0,12500.0,155.0,3.3,190.0,28.0,73.0,,1,0,0,0,10.448714,,0,0,0,0,5.247024,9.433484
36,94,,12200.0,156.0,3.4,325.0,61.0,151.0,177.0,0,0,1,0,,2.9016395,0,0,0,0,5.7838254,9.409191
37,88,32300.0,13780.0,155.0,3.23,240.0,65.0,120.0,234.0,0,0,0,1,10.382822,3.6,0,0,0,0,5.480639,9.530973
38,9,60172.0,19016.0,169.0,3.7,450.0,82.0,,96.0,0,0,1,0,11.004962,1.1707317,1,0,0,0,6.1092477,9.853036
39,89,32093.0,10353.0,,,192.0,58.0,74.0,200.0,0,0,1,0,10.376393,3.4482758,0,0,0,0,5.2574954,9.245031
40,43,46103.0,17170.0,163.0,3.4,260.0,78.0,149.0,236.0,0,1,0,0,10.738633,3.025641,0,0,0,1,5.560682,9.750919
41,59,,12570.0,162.0,3.53,530.0,68.0,76.0,200.0,0,1,0,0,,2.9411764,0,0,0,1,6.272877,9.439068
42,81,33900.0,11400.0,158.0,3.3,346.0,58.0,24.0,204.0,0,1,0,0,10.43117,3.5172415,0,0,0,0,5.846439,9.341369
43,22,64880.0,17900.0,163.0,3.3,410.0,187.0,144.0,547.0,0,0,1,0,11.080295,2.9251337,0,1,0,0,6.016157,9.792556
44,142,29336.0,12100.0,154.0,3.0,186.0,51.0,12.0,134.0,0,0,1,0,10.286571,2.627451,0,0,0,0,5.2257466,9.400961
45,127,,16212.0,160.0,3.27,260.0,50.0,6.0,251.0,0,0,1,0,,5.02,0,0,0,0,5.560682,9.693507
46,31,61000.0,17650.0,163.0,3.51,403.0,196.0,120.0,475.0,0,0,1,0,11.018629,2.4234693,0,0,1,0,5.9989367,9.778491
47,18,62705.0,18995.0,166.0,3.52,728.0,245.0,61.0,643.0,0,0,1,0,11.046197,2.6244898,0,1,0,0,6.590301,9.851931
48,46,45889.0,7221.0,163.0,3.4,456.0,52.0,126.0,241.0,0,1,0,0,10.733981,4.6346154,0,0,0,1,6.122493,8.884748
49,175,,7500.0,159.0,3.12,221.0,41.0,3.0,195.0,0,1,0,0,,4.756098,0,0,0,0,5.398163,8.922658
50,79,34130.0,14554.0,158.0,3.14,200.0,109.0,84.0,237.0,0,0,0,1,10.437932,2.1743119,0,0,0,0,5.2983174,9.585621
51,74,34400.0,13175.0,154.0,3.16,197.0,43.0,73.0,194.0,0,0,0,1,10.445812,4.5116277,0,0,0,0,5.2832036,9.486076
52,1,67815.0,18364.0,168.0,3.75,1745.0,113.0,173.0,553.0,0,0,1,0,11.124538,4.8938055,1,0,0,0,7.46451,9.818148
53,139,30580.0,7820.0,160.0,3.42,231.0,36.0,12.0,76.0,0,0,0,1,10.328101,2.1111112,0,0,0,0,5.4424176,8.964439
54,28,51082.0,16740.0,158.0,3.25,395.0,67.0,,284.0,0,0,1,0,10.8411875,4.238806,0,0,1,0,5.9788857,9.725556
55,48,39000.0,7300.0,159.0,3.3,400.0,113.0,,310.0,0,1,0,0,10.571317,2.743363,0,0,0,1,5.9914646,8.89563
56,116,29500.0,9625.0,152.0,2.85,240.0,42.0,118.0,161.0,0,0,1,0,10.292146,3.8333333,0,0,0,0,5.480639,9.172119
57,132,27000.0,6810.0,152.0,3.25,146.0,22.0,76.0,96.0,0,0,0,1,10.203592,4.3636365,0,0,0,0,4.983607,8.826147
58,38,40000.0,12622.0,161.0,3.4,593.0,65.0,95.0,205.0,1,0,0,0,10.596635,3.1538463,0,0,1,0,6.3851943,9.443196
59,30,50000.0,12382.0,160.0,3.49,510.0,54.0,133.0,209.0,1,0,0,0,10.819778,3.8703704,0,0,1,0,6.234411,9.423999
60,109,31000.0,11588.0,159.0,3.3,410.0,63.0,,264.0,1,0,0,0,10.3417425,4.1904764,0,0,0,0,6.016157,9.357725
61,172,26000.0,7225.0,140.0,3.15,161.0,38.0,,176.0,0,1,0,0,10.165852,4.631579,0,0,0,0,5.081404,8.885303
62,17,63000.0,10190.0,159.0,3.49,727.0,54.0,120.0,233.0,0,0,0,1,11.05089,4.314815,0,1,0,0,6.5889263,9.229162
63,113,30000.0,13200.0,158.0,3.2,280.0,188.0,86.0,260.0,1,0,0,0,10.308952,1.3829787,0,0,0,0,5.6347895,9.487972
64,62,36000.0,6996.0,159.0,3.43,325.0,39.0,94.0,302.0,0,0,0,1,10.491274,7.74359,0,0,0,0,5.7838254,8.853094
65,92,33000.0,9738.0,160.0,3.3,329.0,48.0,77.0,135.0,0,1,0,0,10.404263,2.8125,0,0,0,0,5.7960577,9.183791
66,123,29750.0,13900.0,161.0,3.2,325.0,100.0,,246.0,0,0,0,1,10.300585,2.46,0,0,0,0,5.7838254,9.539644
67,83,34750.0,4247.0,156.0,3.35,540.0,47.0,78.0,284.0,0,1,0,0,10.455935,6.0425534,0,0,0,0,6.291569,8.353968
68,93,33900.0,9639.0,157.0,3.2,236.0,39.0,139.0,142.0,0,1,0,0,10.43117,3.6410255,0,0,0,0,5.463832,9.173573
69,73,35000.0,13950.0,160.0,3.24,285.0,154.0,,246.0,1,0,0,0,10.463103,1.5974026,0,0,0,0,5.652489,9.543235
70,36,39000.0,16604.0,161.0,3.35,341.0,96.0,65.0,,0,0,0,1,10.571317,,0,0,1,0,5.8318825,9.717399
71,155,29640.0,14663.0,152.0,3.1,230.0,61.0,71.0,225.0,0,1,0,0,10.29688,3.6885245,0,0,0,0,5.4380794,9.593082
72,150,28420.0,,157.0,3.3,280.0,23.0,,95.0,0,0,1,0,10.2548485,4.130435,0,0,0,0,5.6347895,
73,40,39500.0,12600.0,157.0,3.2,220.0,51.0,93.0,169.0,1,0,0,0,10.584056,3.3137255,0,0,1,0,5.3936276,9.441452
74,57,38000.0,13245.0,160.0,3.35,325.0,103.0,,261.0,0,0,1,0,10.5453415,2.5339806,0,0,0,1,5.7838254,9.491375
75,37,42000.0,15114.0,157.0,3.24,285.0,88.0,61.0,437.0,0,0,0,1,10.645425,4.965909,0,0,1,0,5.652489,9.623377
76,140,30150.0,7504.0,154.0,3.2,246.0,41.0,23.0,166.0,0,1,0,0,10.31394,4.0487804,0,0,0,0,5.5053315,8.923191
77,105,30000.0,13800.0,157.0,3.1,252.0,49.0,112.0,155.0,0,1,0,0,10.308952,3.1632652,0,0,0,0,5.529429,9.532424
78,107,39900.0,17310.0,155.0,3.2,392.0,138.0,59.0,482.0,0,1,0,0,10.594131,3.4927535,0,0,0,0,5.971262,9.75904
79,2,65000.0,19575.0,168.0,3.67,750.0,97.0,126.0,381.0,1,0,0,0,11.082143,3.927835,1,0,0,0,6.6200733,9.882009
80,20,49862.0,12949.0,163.0,3.56,800.0,128.0,,270.0,1,0,0,0,10.817015,2.109375,0,1,0,0,6.684612,9.468774
81,54,40591.0,6268.0,153.0,3.3,260.0,32.0,131.0,170.0,0,1,0,0,10.611301,5.3125,0,0,0,1,5.560682,8.743213
82,85,34750.0,10500.0,153.0,3.0,220.0,35.0,,151.0,0,1,0,0,10.455935,4.3142858,0,0,0,0,5.3936276,9.2591305
83,96,36900.0,12133.0,154.0,3.28,245.0,57.0,90.0,159.0,0,0,0,1,10.515966,2.7894738,0,0,0,0,5.5012584,9.403685
84,122,29750.0,9292.0,155.0,3.2,124.0,27.0,74.0,77.0,1,0,0,0,10.300585,2.851852,0,0,0,0,4.8202815,9.1369095
85,97,34000.0,8700.0,156.0,3.4,304.0,56.0,97.0,162.0,0,0,0,1,10.434115,2.892857,0,0,0,0,5.7170277,9.071078
86,114,29500.0,11150.0,152.0,3.07,242.0,103.0,77.0,402.0,0,0,1,0,10.292146,3.9029126,0,0,0,0,5.488938,9.319195
87,125,29500.0,8274.0,158.0,3.2,350.0,48.0,,109.0,0,1,0,0,10.292146,2.2708333,0,0,0,0,5.857933,9.020873
88,86,34700.0,16670.0,154.0,3.0,377.0,150.0,94.0,447.0,0,0,1,0,10.454495,2.98,0,0,0,0,5.9322453,9.721366
89,11,56200.0,19740.0,,,888.0,105.0,150.0,430.0,0,0,1,0,10.936672,4.095238,0,1,0,0,6.788972,9.890402
90,163,28800.0,6755.0,152.0,3.22,250.0,,86.0,,1,0,0,0,10.26813,,0,0,0,0,5.521461,8.818038
91,110,28900.0,16860.0,159.0,3.23,165.0,55.0,,209.0,0,0,1,0,10.271597,3.8,0,0,0,0,5.1059456,9.732699
92,160,30000.0,6512.0,157.0,3.0,200.0,35.0,,118.0,1,0,0,0,10.308952,3.3714285,0,0,0,0,5.2983174,8.781402
93,167,28000.0,,151.0,3.31,234.0,47.0,92.0,172.0,0,1,0,0,10.23996,3.6595745,0,0,0,0,5.4553213,
94,14,67000.0,18170.0,162.0,3.6,557.0,111.0,94.0,203.0,1,0,0,0,11.112448,1.8288288,0,1,0,0,6.322565,9.807528
95,35,53177.0,16400.0,161.0,3.45,340.0,60.0,116.0,175.0,1,0,0,0,10.881381,2.9166667,0,0,1,0,5.8289456,9.705036
96,136,29699.0,16960.0,156.0,3.0,225.0,41.0,100.0,139.0,1,0,0,0,10.298868,3.390244,0,0,0,0,5.4161005,9.738613
97,33,41300.0,12200.0,161.0,3.5,590.0,57.0,94.0,225.0,1,0,0,0,10.628618,3.9473684,0,0,1,0,6.3801227,9.409191
98,80,34800.0,9198.0,154.0,3.28,262.0,40.0,76.0,213.0,0,1,0,0,10.457373,5.325,0,0,0,0,5.5683446,9.126741
99,134,27000.0,10850.0,151.0,3.03,216.0,48.0,,237.0,0,1,0,0,10.203592,4.9375,0,0,0,0,5.3752785,9.291921
100,53,39000.0,12680.0,160.0,3.5,291.0,40.0,101.0,149.0,0,0,0,1,10.571317,3.725,0,0,0,1,5.673323,9.447782
101,162,26000.0,16310.0,159.0,3.3,280.0,78.0,,232.0,0,0,1,0,10.165852,2.974359,0,0,0,0,5.6347895,9.699533
102,8,65000.0,19767.0,165.0,3.7,540.0,93.0,133.0,238.0,0,0,1,0,11.082143,2.5591397,1,0,0,0,6.291569,9.891769
103,165,24900.0,2623.0,146.0,3.38,211.0,56.0,72.0,149.0,0,1,0,0,10.122623,2.6607144,0,0,0,0,5.351858,7.872074
104,129,28000.0,13800.0,159.0,3.3,301.0,65.0,,305.0,0,0,0,1,10.23996,4.6923075,0,0,0,0,5.7071104,9.532424
105,148,30135.0,14040.0,161.0,3.23,216.0,87.0,,163.0,0,1,0,0,10.313442,1.8735632,0,0,0,0,5.3752785,9.549665
106,64,37600.0,10638.0,157.0,3.22,450.0,37.0,,222.0,0,0,1,0,10.5347595,6.0,0,0,0,0,6.1092477,9.272188
107,60,39800.0,10653.0,161.0,3.39,393.0,35.0,,242.0,0,0,1,0,10.591622,6.9142857,0,0,0,1,5.9738097,9.273597
108,70,36000.0,15500.0,158.0,3.2,409.0,63.0,,305.0,0,0,1,0,10.491274,4.84127,0,0,0,0,6.0137153,9.648595
109,68,35000.0,13520.0,156.0,3.3,400.0,59.0,,259.0,0,1,0,0,10.463103,4.3898306,0,0,0,0,5.9914646,9.511926
110,151,29700.0,,154.0,3.0,268.0,69.0,58.0,269.0,0,1,0,0,10.2989025,3.8985507,0,0,0,0,5.590987,
111,52,41000.0,16480.0,160.0,3.25,320.0,114.0,31.0,337.0,0,0,0,1,10.621327,2.9561403,0,0,0,1,5.768321,9.709903
112,56,39000.0,15800.0,159.0,3.17,245.0,91.0,73.0,241.0,0,0,0,1,10.571317,2.6483517,0,0,0,1,5.5012584,9.667766
113,61,38750.0,15540.0,159.0,3.32,210.0,53.0,73.0,286.0,0,0,0,1,10.564886,5.3962264,0,0,0,0,5.3471074,9.651173
114,87,34700.0,15870.0,155.0,3.16,316.0,148.0,34.0,454.0,0,0,1,0,10.454495,3.0675676,0,0,0,0,5.755742,9.672186
115,118,30000.0,10546.0,157.0,3.2,326.0,69.0,118.0,240.0,0,0,1,0,10.308952,3.4782608,0,0,0,0,5.786897,9.263502
116,153,29650.0,6910.0,156.0,3.24,156.0,18.0,84.0,77.0,0,0,0,1,10.297217,4.2777777,0,0,0,0,5.049856,8.840725
117,168,29500.0,12600.0,155.0,3.0,290.0,89.0,62.0,464.0,0,1,0,0,10.292146,5.2134833,0,0,0,0,5.669881,9.441452
118,26,52000.0,17430.0,164.0,3.5,330.0,48.0,78.0,200.0,0,0,0,1,10.858999,4.1666665,0,0,1,0,5.799093,9.765948
119,106,30050.0,9186.0,156.0,3.3,302.0,33.0,,127.0,1,0,0,0,10.310618,3.8484848,0,0,0,0,5.710427,9.125436
120,42,39000.0,17372.0,159.0,3.18,440.0,41.0,62.0,256.0,0,1,0,0,10.571317,6.243902,0,0,0,1,6.086775,9.762615
121,75,34900.0,16240.0,157.0,3.15,340.0,78.0,74.0,410.0,0,0,0,1,10.460242,5.25641,0,0,0,0,5.8289456,9.695232
122,6,63000.0,18186.0,167.0,3.78,414.0,52.0,92.0,180.0,0,0,0,1,11.05089,3.4615386,1,0,0,0,6.025866,9.808408
123,146,30000.0,16585.0,,,316.0,83.0,85.0,217.0,0,1,0,0,10.308952,2.6144578,0,0,0,0,5.755742,9.716254
124,108,29000.0,14340.0,158.0,3.3,300.0,130.0,79.0,520.0,0,0,1,0,10.275051,4.0,0,0,0,0,5.7037826,9.570808
125,51,41000.0,17348.0,155.0,3.2,319.0,75.0,90.0,295.0,0,0,1,0,10.621327,3.9333334,0,0,0,1,5.765191,9.761232
126,45,41150.0,13300.0,157.0,3.3,439.0,190.0,90.0,396.0,0,0,1,0,10.624979,2.0842106,0,0,0,1,6.0844994,9.49552
127,117,29499.0,7716.0,,,345.0,,95.0,169.0,0,1,0,0,10.292111,,0,0,0,0,5.8435445,8.951052
128,12,59500.0,8640.0,163.0,3.5,850.0,,78.0,523.0,0,1,0,0,10.9937315,,0,1,0,0,6.7452364,9.0641575
129,170,27000.0,,145.0,2.73,300.0,45.0,38.0,230.0,0,1,0,0,10.203592,5.111111,0,0,0,0,5.7037826,
130,101,35500.0,4388.0,157.0,3.1,260.0,58.0,79.0,232.0,0,1,0,0,10.477288,4.0,0,0,0,0,5.560682,8.386629
131,121,29799.0,,149.0,,305.0,51.0,13.0,285.0,1,0,0,0,10.30223,5.5882354,0,0,0,0,5.7203116,
132,154,29600.0,10280.0,157.0,3.1,260.0,58.0,79.0,232.0,1,0,0,0,10.295529,4.0,0,0,0,0,5.560682,9.237955
133,174,25000.0,14470.0,152.0,2.8,310.0,65.0,,286.0,0,0,1,0,10.126631,4.4,0,0,0,0,5.7365723,9.579833
134,100,36000.0,8715.0,155.0,3.0,260.0,56.0,,216.0,0,1,0,0,10.491274,3.857143,0,0,0,0,5.560682,9.072801
135,29,49000.0,8529.0,161.0,3.55,264.0,55.0,,124.0,0,0,0,1,10.799576,2.2545455,0,0,1,0,5.575949,9.051228
136,69,35000.0,13710.0,155.0,3.3,215.0,42.0,196.0,175.0,1,0,0,0,10.463103,4.1666665,0,0,0,0,5.370638,9.525881
137,16,57000.0,17750.0,164.0,3.62,329.0,75.0,112.0,187.0,0,1,0,0,10.950807,2.4933333,0,1,0,0,5.7960577,9.784141
138,152,29669.0,15114.0,159.0,3.2,175.0,53.0,,163.0,0,0,1,0,10.297858,3.0754716,0,0,0,0,5.164786,9.623377
139,63,37000.0,15620.0,160.0,3.41,420.0,74.0,32.0,228.0,0,0,1,0,10.518673,3.0810812,0,0,0,0,6.0402546,9.656307
140,15,64000.0,15678.0,164.0,3.6,700.0,107.0,160.0,380.0,0,0,1,0,11.066638,3.5514019,0,1,0,0,6.55108,9.660014
141,111,29700.0,14200.0,162.0,3.31,250.0,67.0,91.0,165.0,0,0,1,0,10.2989025,2.4626865,0,0,0,0,5.521461,9.560997
142,102,35000.0,7000.0,154.0,3.27,251.0,59.0,82.0,148.0,0,0,0,1,10.463103,2.5084746,0,0,0,0,5.525453,8.853665
143,25,49000.0,10000.0,163.0,3.63,450.0,69.0,86.0,148.0,0,0,0,1,10.799576,2.1449275,0,1,0,0,6.1092477,9.2103405
144,16,51490.0,13600.0,163.0,3.47,297.0,48.0,136.0,125.0,0,0,1,0,10.849143,2.6041667,0,1,0,0,5.6937323,9.517825
145,41,41500.0,17750.0,160.0,3.2,476.0,86.0,118.0,210.0,0,0,0,1,10.633449,2.4418604,0,0,0,1,6.1654177,9.784141
146,67,35000.0,6700.0,158.0,3.35,415.0,66.0,58.0,234.0,1,0,0,0,10.463103,3.5454545,0,0,0,0,6.0282784,8.809863
147,135,27900.0,11775.0,153.0,3.08,301.0,59.0,,251.0,0,0,1,0,10.236382,4.254237,0,0,0,0,5.7071104,9.3737335
148,156,29630.0,15960.0,155.0,3.0,230.0,40.0,10.0,247.0,0,0,0,1,10.296542,6.175,0,0,0,0,5.4380794,9.677841
149,138,29750.0,14200.0,154.0,3.1,481.0,206.0,,679.0,0,0,1,0,10.300585,3.2961166,0,0,0,0,6.175867,9.560997
150,66,36000.0,12800.0,157.0,3.2,244.0,39.0,102.0,182.0,0,0,1,0,10.491274,4.6666665,0,0,0,0,5.497168,9.4572
151,17,49321.0,13530.0,162.0,3.34,300.0,50.0,206.0,178.0,0,0,1,0,10.806106,3.56,0,1,0,0,5.7037826,9.512665
152,21,49900.0,11334.0,161.0,3.4,,47.0,,285.0,1,0,0,0,10.817777,6.06383,0,1,0,0,,9.335563
153,143,31500.0,7396.0,157.0,3.4,174.0,17.0,65.0,79.0,0,0,0,1,10.357743,4.647059,0,0,0,0,5.159055,8.908694
154,3,69000.0,19780.0,171.0,3.82,850.0,100.0,140.0,101.0,0,0,1,0,11.141862,1.01,1,0,0,0,6.7452364,9.8924265
155,120,29800.0,12870.0,,,200.0,35.0,,327.0,1,0,0,0,10.302263,9.342857,0,0,0,0,5.2983174,9.462654
