,lnchprg,enroll,staff,expend,salary,benefits,droprate,gradrate,math10,sci11,totcomp,ltotcomp,lexpend,lenroll,lstaff,bensal,lsalary
0,1.4,1862,112.6,5765,37498.0,7420,2.9,89.2,56.4,67.9,44918.0,10.712594,8.65956,7.5294065,4.7238417,0.19787721,10.5320425
1,2.3,11355,101.2,6601,48722.0,10370,1.3,91.4,42.7,65.3,59092.0,10.986851,8.794976,9.337414,4.617099,0.2128402,10.793886
2,2.7,7685,114.0,6834,44541.0,7313,3.5,91.4,43.8,54.3,51854.0,10.856188,8.829665,8.947025,4.7361984,0.1641858,10.704165
3,3.4,1148,85.4,3586,31566.0,5989,3.6,86.6,25.3,60.0,37555.0,10.533562,8.1847925,7.0457764,4.447346,0.18972945,10.359836
4,3.4,1572,96.1,3847,29781.0,5545,0.0,100.0,15.3,65.8,35326.0,10.472375,8.255049,7.360104,4.565389,0.18619254,10.301626
5,3.4,2496,101.1,5070,36801.0,5895,2.7,89.2,46.0,60.5,42696.0,10.66186,8.531096,7.822445,4.6161103,0.16018586,10.51328
6,3.6,3358,87.6,4474,37863.0,6934,1.4,95.1,33.6,67.4,44797.0,10.709896,8.406038,8.119101,4.472781,0.18313393,10.54173
7,3.6,11983,96.0,5159,40133.0,8085,2.5,87.8,40.1,69.4,48218.0,10.783487,8.548498,9.391244,4.564348,0.20145516,10.599955
8,4.2,3499,102.8,5012,36451.0,7253,1.8,93.2,42.1,71.7,43704.0,10.685195,8.51959,8.160233,4.6327853,0.19897945,10.503724
9,4.2,5095,145.0,6501,33449.0,7386,1.9,92.1,39.8,55.0,40835.0,10.617295,8.779712,8.536015,4.9767337,0.22081378,10.417777
10,4.5,16793,106.9,5938,40859.0,8754,3.0,88.2,30.8,58.1,49613.0,10.812008,8.689128,9.728718,4.6718936,0.214249,10.617883
11,4.5,984,100.9,5987,42785.0,9279,5.6,79.3,14.6,74.6,52064.0,10.860229,8.697346,6.891626,4.61413,0.21687508,10.663943
12,5.1,1116,107.1,4843,34085.0,5907,0.6,97.5,51.1,48.6,39992.0,10.596435,8.48529,7.017506,4.673763,0.17330204,10.436613
13,5.5,4156,101.2,4255,29700.0,5295,5.3,79.7,29.2,55.0,34995.0,10.46296,8.35585,8.332309,4.617099,0.17828283,10.2989025
14,5.5,4046,99.9,5332,47436.0,3,0.2,98.4,49.7,62.0,47439.0,10.7671995,8.581482,8.305484,4.60417,6.3243104e-05,10.767137
15,5.6,10695,125.8,6806,40304.0,7309,1.1,89.8,42.6,53.1,47613.0,10.770861,8.82556,9.277532,4.8346934,0.18134676,10.604206
16,5.8,3117,122.8,6169,38873.0,6265,2.4,90.7,35.0,54.1,45138.0,10.71748,8.727292,8.044626,4.810557,0.16116585,10.568055
17,6.1,2168,108.4,5235,35536.0,6555,4.1,84.7,35.9,45.4,42091.0,10.64759,8.563122,7.6815605,4.685828,0.18446083,10.478302
18,6.2,2317,80.3,4196,37350.0,6987,1.6,93.8,17.8,44.5,44337.0,10.699574,8.3418865,7.7480288,4.38577,0.18706827,10.528089
19,6.2,1391,109.3,4854,31076.0,6434,23.4,90.0,25.5,74.4,37510.0,10.532363,8.487558,7.237778,4.6940966,0.2070408,10.344192
20,6.3,3691,82.7,4088,35538.0,6408,1.4,94.1,33.2,69.2,41946.0,10.644138,8.315811,8.213653,4.41522,0.18031403,10.478358
21,6.3,1673,103.0,4497,31271.0,6668,5.1,81.1,39.6,67.2,37939.0,10.543735,8.411166,7.422374,4.634729,0.21323271,10.350447
22,6.7,2671,84.2,4141,35547.0,6430,0.4,98.2,30.3,57.1,41977.0,10.644877,8.328692,7.8902082,4.433195,0.18088728,10.478611
23,6.8,650,97.6,4403,34194.0,6833,0.0,100.0,54.8,72.8,41027.0,10.621985,8.390041,6.4769726,4.5808773,0.19983038,10.439805
24,6.9,2119,89.2,4018,33345.0,6373,3.1,87.2,62.4,66.7,39718.0,10.58956,8.298539,7.6586995,4.490881,0.19112311,10.414663
25,7.8,1002,110.8,3943,25453.0,5246,2.8,89.0,29.7,56.5,30699.0,10.331985,8.279697,6.9097533,4.707727,0.20610537,10.144588
26,7.8,2549,84.6,4677,41451.0,7637,5.0,82.7,36.9,56.7,49088.0,10.80137,8.450412,7.8434563,4.4379344,0.18424164,10.632267
27,8.0,5805,98.9,4357,33234.0,5548,2.2,89.8,22.4,57.9,38782.0,10.565712,8.3795395,8.666475,4.594109,0.16693747,10.411328
28,8.0,2822,91.3,4955,36954.0,11545,8.6,72.7,23.9,50.9,48499.0,10.789298,8.508152,7.945201,4.5141506,0.31241542,10.517429
29,8.1,5491,98.4,4526,34499.0,7398,8.0,73.8,39.2,45.0,41897.0,10.642969,8.417594,8.610866,4.5890408,0.214441,10.448686
30,8.2,2331,120.5,6618,37519.0,8973,1.4,100.0,22.9,57.1,46492.0,10.747036,8.797548,7.7540526,4.79165,0.23915882,10.532602
31,8.3,4725,95.7,5195,39481.0,8348,5.0,87.3,27.8,64.6,47829.0,10.775388,8.555452,8.460623,4.5612183,0.21144348,10.583575
32,8.4,2629,102.5,4684,33867.0,6924,3.2,94.7,36.9,67.1,40791.0,10.616217,8.451908,7.8743587,4.629863,0.20444681,10.430197
33,8.4,2475,119.0,5516,34520.0,5671,0.2,98.9,37.3,58.4,40191.0,10.601398,8.615408,7.813996,4.7791233,0.16428158,10.449294
34,8.5,1278,94.5,3675,27955.0,6073,1.0,94.6,21.3,65.5,34028.0,10.434939,8.209309,7.153052,4.5485997,0.217242,10.238352
35,8.6,8016,95.4,4635,36461.0,6841,0.3,98.6,48.7,57.0,43302.0,10.675954,8.441392,8.989195,4.558079,0.18762514,10.503999
36,8.7,913,95.2,4006,31204.0,5277,3.2,87.4,34.2,45.8,36481.0,10.504547,8.295548,6.8167357,4.5559797,0.16911294,10.348302
37,8.8,891,93.7,4291,34105.0,6387,0.8,88.5,32.8,51.0,40492.0,10.60886,8.364275,6.7923446,4.540098,0.18727459,10.4372
38,8.8,5125,102.8,4759,34315.0,6892,7.1,82.8,33.2,39.4,41207.0,10.626364,8.4677925,8.541885,4.6327853,0.2008451,10.443337
39,9.0,3263,101.7,3901,28948.0,5262,4.4,82.7,31.7,58.3,34210.0,10.440273,8.268989,8.090403,4.6220274,0.18177421,10.273256
40,9.1,444,111.3,4288,26682.0,4346,2.5,89.4,20.0,44.0,31028.0,10.342646,8.363576,6.0958247,4.7122293,0.16288134,10.191745
41,9.1,10591,107.0,5794,39982.0,7680,0.7,92.6,28.0,39.9,47662.0,10.77189,8.664578,9.26776,4.6728287,0.19208644,10.596185
42,9.2,13684,96.1,6838,52812.0,10706,4.4,80.6,23.4,65.4,63518.0,11.059078,8.830251,9.523983,4.565389,0.20271908,10.874494
43,9.3,5926,107.8,4037,28053.0,5076,61.9,80.0,42.9,69.9,33129.0,10.408164,8.303257,8.687105,4.680278,0.18094322,10.241851
44,9.3,2100,103.0,5115,37112.0,7451,3.2,83.8,16.8,71.0,44563.0,10.704659,8.539932,7.6496925,4.634729,0.20077065,10.521696
45,9.4,669,105.0,4249,36183.0,0,0.0,100.0,30.9,47.7,36183.0,10.496345,8.354439,6.505784,4.65396,0.0,10.496345
46,9.5,1789,83.2,4308,36622.0,8429,4.3,79.4,16.2,40.4,45051.0,10.71555,8.368229,7.4894123,4.4212475,0.2301622,10.508405
47,9.5,2674,89.6,5562,45358.0,9871,3.3,94.0,23.6,49.6,55229.0,10.919244,8.6237135,7.8913307,4.495355,0.21762423,10.722342
48,9.6,2405,99.4,4353,33341.0,6605,3.9,87.2,18.1,60.4,39946.0,10.5952835,8.37862,7.785305,4.599152,0.19810444,10.414543
49,9.6,891,150.1,6810,32197.0,6281,3.5,87.5,30.5,61.8,38478.0,10.557842,8.826147,6.7923446,5.011302,0.19508028,10.379628
50,9.7,2933,89.1,3561,29504.0,5488,11.8,72.0,28.1,51.2,34992.0,10.462874,8.177796,7.983781,4.4897594,0.18600868,10.292281
51,9.7,1617,104.4,3927,27192.0,4953,1.8,93.4,25.5,51.3,32145.0,10.378013,8.275631,7.388328,4.6482296,0.18214916,10.210678
52,9.7,3341,95.6,4806,35247.0,8736,8.5,81.5,35.1,71.1,43983.0,10.691559,8.47762,8.114025,4.560173,0.24785088,10.470136
53,9.7,4132,80.1,5461,48782.0,11618,1.1,94.8,47.7,58.8,60400.0,11.008744,8.605387,8.326517,4.383276,0.23816162,10.795116
54,9.8,4077,83.4,3930,36440.0,7152,1.4,101.3,26.8,54.4,43592.0,10.682629,8.276395,8.313117,4.4236484,0.19626784,10.503423
55,9.9,4776,94.9,4453,34863.0,7764,2.3,91.1,26.8,51.3,42627.0,10.660243,8.401333,8.471358,4.5528235,0.22270028,10.459182
56,10.2,734,85.8,4158,34491.0,6178,1.1,95.7,25.5,54.7,40669.0,10.613221,8.332789,6.598509,4.452019,0.17911918,10.448454
57,10.2,4242,81.4,5054,45447.0,10017,3.2,87.2,32.2,58.1,55464.0,10.92349,8.527935,8.35279,4.3993754,0.22041059,10.724302
58,10.3,3299,68.9,3332,36045.0,6484,0.1,101.5,36.6,71.1,42529.0,10.657942,8.111328,8.101375,4.232656,0.17988625,10.492523
59,10.3,511,104.7,4700,33949.0,6559,1.6,97.7,37.8,52.8,40508.0,10.609255,8.4553175,6.2363696,4.651099,0.19320157,10.432614
60,10.4,10571,81.0,4333,39643.0,8234,1.2,95.3,23.4,42.6,47877.0,10.77639,8.374016,9.26587,4.394449,0.20770375,10.587669
61,10.5,1837,95.0,5350,40188.0,7982,1.9,89.6,31.3,42.2,48170.0,10.782492,8.584852,7.515889,4.553877,0.1986165,10.601324
62,10.6,3003,108.4,4513,29773.0,8060,5.5,81.9,12.7,47.8,37833.0,10.540937,8.414718,8.007367,4.685828,0.2707151,10.301357
63,10.6,3233,95.9,5622,41122.0,8913,2.4,90.4,20.4,63.3,50035.0,10.820478,8.634442,8.081165,4.563306,0.21674529,10.624298
64,10.7,2718,82.6,3495,32759.0,5749,0.7,96.3,33.3,47.0,38508.0,10.558621,8.159089,7.9076514,4.4140096,0.17549376,10.396933
65,10.7,3003,123.9,5987,34410.0,8602,1.0,95.4,20.7,50.5,43012.0,10.669234,8.697346,8.007367,4.8194747,0.24998547,10.446102
66,10.8,4528,81.5,4007,35302.0,8796,1.6,94.1,19.7,60.9,44098.0,10.69417,8.295798,8.4180355,4.400603,0.24916436,10.471695
67,11.0,2789,96.3,4747,35987.0,7223,2.2,91.7,25.0,37.5,43210.0,10.673827,8.465268,7.9334383,4.567468,0.20071137,10.490913
68,11.1,2625,94.7,4849,38399.0,6853,2.9,92.7,24.3,53.8,45252.0,10.720002,8.486527,7.872836,4.550714,0.17846818,10.555787
69,11.1,3268,122.6,6539,37911.0,9491,4.7,92.4,32.5,63.3,47402.0,10.766419,8.78554,8.091933,4.808927,0.2503495,10.542996
70,11.2,1767,92.1,5026,37600.0,8619,1.7,94.0,25.8,61.8,46219.0,10.741146,8.52238,7.4770384,4.522875,0.22922872,10.5347595
71,11.4,5005,95.8,4575,36170.0,7653,0.9,94.9,29.8,52.9,43823.0,10.687914,8.428362,8.518192,4.5622625,0.21158418,10.495985
72,11.7,1135,103.3,4306,30977.0,5684,4.1,84.4,16.0,65.7,36661.0,10.509469,8.367764,7.034388,4.6376376,0.18349098,10.341001
73,11.7,3427,97.5,4401,34143.0,6032,2.4,81.9,38.8,52.1,40175.0,10.601,8.389587,8.139441,4.5798526,0.17666872,10.438313
74,11.9,2504,94.2,4142,32191.0,5972,2.5,87.8,23.6,34.9,38163.0,10.549622,8.328934,7.825645,4.54542,0.1855177,10.379442
75,11.9,1882,106.5,4521,30604.0,5950,1.5,102.8,23.7,36.8,36554.0,10.506546,8.416489,7.54009,4.668145,0.19441903,10.328886
76,12.0,2054,93.9,3804,29280.0,5659,4.5,80.9,18.9,52.5,34939.0,10.461359,8.243809,7.6275444,4.5422306,0.19327186,10.28466
77,12.0,3707,97.9,4117,31687.0,4619,2.9,89.3,31.6,50.3,36306.0,10.499739,8.32288,8.2179785,4.5839467,0.14576955,10.363662
78,12.0,2963,91.3,4527,34700.0,7032,7.1,74.6,33.3,67.9,41732.0,10.639024,8.417815,7.9939575,4.5141506,0.20265129,10.454495
79,12.3,3210,103.3,4256,32041.0,5454,3.8,85.5,23.3,53.2,37495.0,10.531962,8.356085,8.074026,4.6376376,0.1702194,10.374772
80,12.4,760,108.1,4200,28166.0,5447,0.5,97.9,25.4,62.9,33613.0,10.422668,8.34284,6.6333184,4.683057,0.19338919,10.245871
81,12.5,7653,114.6,7034,45252.0,9451,5.2,81.3,29.6,52.6,54703.0,10.909674,8.858511,8.942853,4.741448,0.20885265,10.720002
82,12.6,1039,95.2,4133,32029.0,7284,1.4,94.8,13.5,54.0,39313.0,10.57931,8.326758,6.946014,4.5559797,0.2274189,10.374397
83,12.6,3084,93.4,4252,34045.0,6831,4.0,84.2,24.1,57.6,40876.0,10.618299,8.3551445,8.033982,4.5368915,0.2006462,10.435438
84,12.9,2656,112.7,4162,27561.0,4819,0.6,97.3,24.3,53.7,32380.0,10.385296,8.333751,7.8845763,4.7247295,0.17484851,10.224157
85,13.1,1860,92.3,3865,32436.0,5681,4.5,82.9,14.8,48.9,38117.0,10.548415,8.259717,7.5283318,4.525044,0.1751449,10.387024
86,13.1,808,88.0,4326,34730.0,7508,22.0,85.0,29.8,49.4,42238.0,10.651075,8.372398,6.694562,4.477337,0.21618198,10.455359
87,13.1,4704,118.0,4373,28149.0,4244,5.8,77.7,18.7,43.1,32393.0,10.385697,8.383204,8.456168,4.7706847,0.15076911,10.245267
88,13.1,4521,99.3,5793,43840.0,8648,4.7,83.5,25.9,54.7,52488.0,10.86834,8.664406,8.416489,4.5981455,0.19726278,10.688302
89,13.2,2423,100.7,4385,31731.0,6265,2.7,89.2,32.9,59.1,37996.0,10.545237,8.385945,7.792762,4.612146,0.19744098,10.365049
90,13.3,2774,91.3,4475,30860.0,8435,1.4,86.3,37.2,41.2,39295.0,10.578853,8.406261,7.9280457,4.5141506,0.27333117,10.337216
91,13.4,4903,85.7,4016,35770.0,6927,1.2,95.3,23.6,50.9,42697.0,10.661884,8.298041,8.497602,4.450853,0.1936539,10.484865
92,13.7,4941,91.8,3788,31261.0,6159,4.9,80.9,16.3,51.4,37420.0,10.529961,8.2395935,8.505323,4.5196123,0.19701865,10.350126
93,13.7,4913,108.1,5438,36416.0,8170,6.1,76.9,25.5,53.8,44586.0,10.705175,8.601167,8.49964,4.683057,0.22435193,10.502764
94,14.0,4305,89.9,4433,37855.0,8009,1.6,93.5,12.4,52.9,45864.0,10.733436,8.3968315,8.367533,4.4986978,0.21157047,10.541518
95,14.1,3376,90.6,4244,34768.0,6635,1.0,96.5,31.0,55.6,41403.0,10.631108,8.353262,8.124447,4.506454,0.1908364,10.456452
96,14.1,682,110.3,4287,27372.0,4893,1.7,88.7,30.2,60.3,32265.0,10.381739,8.363342,6.5250297,4.703204,0.17875932,10.217276
97,14.2,1824,96.9,5044,39102.0,6781,0.6,97.4,40.1,55.5,45883.0,10.73385,8.525954,7.508787,4.5736794,0.17341824,10.573929
98,14.3,1663,93.8,4033,31964.0,5555,2.6,89.2,27.6,48.8,37519.0,10.532602,8.302266,7.4163785,4.541165,0.17378926,10.372366
99,14.4,1480,101.3,3698,26779.0,5054,2.1,94.4,30.5,54.3,31833.0,10.368258,8.215548,7.2997975,4.6180863,0.18872997,10.195374
100,14.4,1844,102.5,3910,27930.0,4956,0.8,96.5,21.1,41.2,32886.0,10.400803,8.271293,7.5196924,4.629863,0.17744361,10.237456
101,14.4,2221,113.5,4910,31839.0,6078,8.4,69.9,14.5,35.0,37917.0,10.543155,8.499029,7.705713,4.731803,0.19089796,10.368447
102,14.7,2064,106.3,3945,27519.0,4627,8.0,76.7,20.5,74.5,32146.0,10.378043,8.280204,7.632401,4.6662655,0.16813837,10.222632
103,14.7,3434,99.9,4197,31407.0,6018,0.0,100.0,32.2,52.6,37425.0,10.530094,8.342125,8.141481,4.60417,0.19161333,10.354786
104,14.8,1647,99.9,3710,27444.0,5156,6.7,75.4,21.5,50.7,32600.0,10.392068,8.218787,7.4067106,4.60417,0.18787348,10.219903
105,14.8,2670,100.8,3977,28877.0,5766,1.9,92.8,24.5,58.2,34643.0,10.452851,8.288283,7.889834,4.613138,0.19967449,10.270801
106,14.8,5759,103.6,4952,35558.0,7394,3.3,84.9,30.7,48.4,42952.0,10.667838,8.507546,8.658519,4.6405373,0.20794195,10.47892
107,14.9,8201,93.3,5383,42811.0,8499,2.6,90.4,27.2,44.7,51310.0,10.845641,8.5910015,9.012012,4.53582,0.19852374,10.664551
108,15.0,3087,93.9,4139,32434.0,6834,6.7,76.9,24.8,48.7,39268.0,10.578165,8.32821,8.034955,4.5422306,0.21070482,10.386963
109,15.0,1689,95.2,4186,32839.0,5724,8.0,72.7,24.8,61.4,38563.0,10.560048,8.3395,7.431892,4.5559797,0.17430495,10.399372
110,15.2,3626,96.0,4243,31543.0,6928,5.8,71.5,26.8,38.8,38471.0,10.55766,8.353025,8.195886,4.564348,0.2196367,10.359107
111,15.2,3394,86.9,4366,36621.0,7605,3.8,87.6,18.3,67.0,44226.0,10.697068,8.381602,8.129765,4.464758,0.20766774,10.508377
112,15.2,8777,114.7,5710,39440.0,6260,5.1,77.9,43.9,44.5,45700.0,10.729854,8.649974,9.07989,4.74232,0.1587221,10.582536
113,15.3,4350,97.5,4500,34474.0,7904,6.1,80.1,17.9,42.9,42378.0,10.654385,8.411833,8.377932,4.5798526,0.22927423,10.447961
114,15.3,2170,95.7,5895,45158.0,9354,2.0,94.3,19.0,30.1,54512.0,10.906177,8.68186,7.6824822,4.5612183,0.20713937,10.717923
115,15.7,946,102.5,4122,29757.0,6229,1.1,94.3,30.6,49.2,35986.0,10.490885,8.324094,6.8522425,4.629863,0.2093289,10.300819
116,15.9,899,111.8,4239,28032.0,5670,1.5,86.1,18.9,49.2,33702.0,10.425312,8.352082,6.801283,4.7167115,0.20226884,10.241102
117,16.0,2363,102.1,3905,29280.0,5535,3.0,89.2,25.0,45.9,34815.0,10.457804,8.270013,7.7676873,4.6259527,0.18903689,10.28466
118,16.0,2553,98.0,4752,34471.0,6622,6.9,90.8,12.6,49.5,41093.0,10.623593,8.466321,7.8450246,4.5849676,0.1921035,10.447874
119,16.2,3480,92.7,3893,29898.0,7158,1.9,78.9,14.4,51.9,37056.0,10.520185,8.266935,8.154788,4.5293684,0.239414,10.305547
120,16.3,1766,86.7,3901,33501.0,6882,12.5,58.3,18.3,46.8,40383.0,10.606164,8.268989,7.4764724,4.462454,0.20542671,10.419331
121,16.3,4192,104.3,4206,29238.0,6402,12.1,58.9,26.6,44.1,35640.0,10.481224,8.344267,8.340933,4.647271,0.21896163,10.283224
122,16.4,412,99.5,3786,27973.0,5076,14.4,41.2,12.5,50.0,33049.0,10.405746,8.239065,6.0210233,4.6001577,0.1814607,10.238995
123,16.4,1480,89.2,3788,32159.0,6038,4.6,83.2,33.3,57.4,38197.0,10.550512,8.2395935,7.2997975,4.490881,0.1877546,10.378448
124,16.4,1068,96.3,4250,31114.0,6115,3.6,83.9,29.3,51.9,37229.0,10.524843,8.354674,6.973543,4.567468,0.19653532,10.345413
125,16.5,1168,82.6,3688,33179.0,6134,2.6,89.8,23.5,61.3,39313.0,10.57931,8.212839,7.0630484,4.4140096,0.18487598,10.409673
126,16.7,894,94.7,3848,30131.0,5482,3.4,96.7,17.6,41.3,35613.0,10.480466,8.255309,6.795706,4.550714,0.18193887,10.31331
127,16.8,666,104.3,4336,30979.0,6065,11.9,63.5,2.4,61.5,37044.0,10.519861,8.374707,6.50129,4.647271,0.19577779,10.341064
128,16.9,964,101.3,3799,27929.0,5061,1.2,94.2,29.2,39.9,32990.0,10.40396,8.242494,6.8710914,4.6180863,0.18120949,10.237421
129,17.0,4035,90.1,4282,34134.0,8138,1.6,92.5,19.7,33.8,42272.0,10.65188,8.362176,8.302762,4.5009203,0.23841332,10.438049
130,17.2,1122,104.3,4664,29925.0,9769,3.8,88.2,23.0,51.0,39694.0,10.588955,8.447629,7.022868,4.647271,0.32644945,10.30645
131,17.3,1623,99.5,3694,26891.0,5070,19.4,33.5,33.0,36.7,31961.0,10.372272,8.214465,7.3920317,4.6001577,0.18853891,10.199547
132,17.3,1491,95.9,4147,32021.0,6415,5.3,89.3,23.7,45.0,38436.0,10.556749,8.33014,7.3072023,4.563306,0.20033728,10.374147
133,17.3,1765,118.4,5847,35802.0,7984,11.0,62.5,15.4,59.2,43786.0,10.687069,8.673684,7.475906,4.774069,0.2230043,10.485759
134,17.5,2195,80.1,3659,32798.0,7244,1.1,95.5,32.7,45.8,40042.0,10.597684,8.204946,7.6939373,4.383276,0.22086713,10.398123
135,17.8,880,83.8,4258,36780.0,6879,0.9,95.8,25.0,59.0,43659.0,10.684165,8.356555,6.779922,4.428433,0.187031,10.51271
