,city,year,pop,enroll,rent,rnthsg,tothsg,avginc,lenroll,lpop,lrent,ltothsg,lrnthsg,lavginc,clenroll,clpop,clrent,cltothsg,clrnthsg,clavginc,pctstu,cpctstu,y90
0,1,80,75211.0,15303.0,197,13475.0,26167.0,11537.0,9.635804,11.228053,5.2832036,10.172255,9.508592,9.353314,,,,,,,20.346758,,0
1,1,90,77759.0,18017.0,342,15660.0,29467.0,19568.0,9.799071,11.26137,5.8348107,10.291026,9.658865,9.881651,-15293.201,0.033316612,0.55160713,0.11877155,0.15027332,0.5283365,23.17031,2.8235512,1
2,2,80,106743.0,22462.0,323,14580.0,37277.0,19841.0,10.01958,11.578179,5.7776523,10.526132,9.587406,9.895506,,,,,,,21.043066,,0
3,2,90,141865.0,29769.0,496,26895.0,55540.0,31885.0,10.301223,11.862631,6.206576,10.924859,10.199696,10.369891,-22451.7,0.28445148,0.4289236,0.39872742,0.6122894,0.47438526,20.984034,-0.05903244,1
4,3,80,36608.0,11847.0,216,7026.0,13482.0,11455.0,9.37983,10.508022,5.3752785,9.50911,8.857373,9.346182,,,,,,,32.36178,,0
5,3,90,42099.0,10265.0,351,9557.0,16894.0,21202.0,9.236495,10.647779,5.8607864,9.734714,9.16503,9.961851,-11837.764,0.13975716,0.48550797,0.2256031,0.3076563,0.61566925,24.383001,-7.978777,1
6,4,80,36640.0,13825.0,267,7896.0,14041.0,14682.0,9.534234,10.508896,5.587249,9.549737,8.974112,9.5943775,,,,,,,37.731987,,0
7,4,90,46209.0,18173.0,588,10617.0,17926.0,29044.0,9.807693,10.74093,6.376727,9.794007,9.270212,10.276567,-13815.192,0.23203373,0.7894783,0.24427032,0.29610062,0.68218994,39.327835,1.5958481,1
8,5,80,62134.0,8175.0,475,5796.0,21337.0,31300.0,9.008836,11.037048,6.163315,9.968198,8.664924,10.351374,,,,,,,13.157047,,0
9,5,90,110330.0,18205.0,925,15112.0,40257.0,56307.0,9.809451,11.611231,6.829794,10.603039,9.623244,10.938574,-8165.1904,0.5741825,0.6664791,0.63484097,0.9583206,0.58720016,16.500498,3.3434505,1
10,6,80,118550.0,12223.0,276,25562.0,47056.0,16291.0,9.411075,11.68309,5.620401,10.759093,10.148862,9.698368,,,,,,,10.310417,,0
11,6,90,132605.0,15192.0,630,26972.0,50199.0,35103.0,9.628524,11.79513,6.4457197,10.8237505,10.202555,10.466042,-12213.371,0.112039566,0.8253188,0.06465721,0.053692818,0.7676735,11.456581,1.146164,1
12,7,80,76685.0,20724.0,302,15185.0,28674.0,16744.0,9.939048,11.247461,5.710427,10.263746,9.628063,9.725795,,,,,,,27.024841,,0
13,7,90,83312.0,24809.0,521,18674.0,34681.0,29407.0,10.118961,11.330348,6.25575,10.453947,9.8348875,10.288988,-20713.88,0.082886696,0.5453234,0.1902008,0.2068243,0.5631933,29.778423,2.753582,1
14,8,80,65092.0,17134.0,257,10874.0,23543.0,15773.0,9.74882,11.083557,5.549076,10.066584,9.29413,9.666055,,,,,,,26.322742,,0
15,8,90,87758.0,21377.0,422,15943.0,33689.0,26826.0,9.970071,11.382339,6.0450053,10.424927,9.676775,10.197126,-17124.03,0.2987814,0.49592924,0.35834312,0.38264465,0.53107166,24.359034,-1.9637089,1
16,9,80,126109.0,16009.0,253,32471.0,46880.0,11683.0,9.680906,11.744902,5.5333896,10.755346,10.388103,9.3658905,,,,,,,12.694573,,0
17,9,90,130474.0,19012.0,568,33417.0,48986.0,25811.0,9.852825,11.77893,6.3421216,10.79929,10.41682,10.158556,-15999.147,0.034028053,0.80873203,0.043943405,0.028717041,0.7926655,14.5714855,1.8769121,1
18,10,80,81371.0,24528.0,242,14782.0,28307.0,12586.0,10.107571,11.306774,5.488938,10.250864,9.601166,9.44034,,,,,,,30.143417,,0
19,10,90,84770.0,26027.0,383,16889.0,31924.0,21077.0,10.16689,11.347697,5.948035,10.371114,9.734418,9.955937,-24517.834,0.04092312,0.4590969,0.12024975,0.13325214,0.51559734,30.70308,0.55966187,1
20,11,80,81548.0,22735.0,228,17344.0,30822.0,11750.0,10.031661,11.308947,5.4293456,10.335984,9.761002,9.371609,,,,,,,27.879286,,0
21,11,90,124773.0,33980.0,444,27655.0,50442.0,23453.0,10.433527,11.734251,6.0958247,10.82858,10.227562,10.062754,-22724.566,0.4253044,0.6664791,0.49259567,0.46656036,0.69114494,27.233456,-0.64583015,1
22,12,80,42549.0,14863.0,187,9506.0,15055.0,10018.0,9.60663,10.658412,5.2311087,9.619466,9.159678,9.212139,,,,,,,34.93149,,0
23,12,90,45734.0,18396.0,347,11332.0,17012.0,14286.0,9.819888,10.7305975,5.8493247,9.741674,9.335386,9.567036,-14853.18,0.07218552,0.61821604,0.122208595,0.17570782,0.35489655,40.223904,5.292412,1
24,13,80,58133.0,19532.0,243,11014.0,21238.0,14894.0,9.879809,10.970489,5.4930615,9.963548,9.306923,9.608714,,,,,,,33.598816,,0
25,13,90,63502.0,21070.0,422,12765.0,24173.0,22967.0,9.9556055,11.058826,6.0450053,10.092992,9.454462,10.041814,-19522.045,0.0883379,0.5519438,0.12944412,0.14753914,0.43309975,33.180058,-0.4187584,1
26,14,80,73706.0,12215.0,336,14381.0,27907.0,21715.0,9.41042,11.207839,5.817111,10.236633,9.573663,9.985759,,,,,,,16.5726,,0
27,14,90,73233.0,14887.0,636,13682.0,27954.0,22346.0,9.608244,11.201402,6.455199,10.238316,9.523836,10.014402,-12205.392,-0.0064373016,0.63808775,0.0016822815,-0.049826622,0.028643608,20.328268,3.7556686,1
28,15,80,52044.0,25719.0,210,10437.0,16940.0,10933.0,10.154985,10.859845,5.3471074,9.737433,9.253113,9.299541,,,,,,,49.4178,,0
29,15,90,60633.0,29886.0,403,13807.0,20983.0,18393.0,10.305145,11.012594,5.9989367,9.9514675,9.532931,9.819725,-25708.695,0.15274906,0.65182924,0.21403408,0.27981853,0.52018356,49.28999,-0.12781143,1
30,16,80,77216.0,13618.0,195,10533.0,27465.0,13459.0,9.519148,11.254362,5.273,10.220668,9.262268,9.507403,,,,,,,17.636242,,0
31,16,90,71305.0,15799.0,325,11562.0,27188.0,19353.0,9.667702,11.174722,5.7838254,10.210531,9.355479,9.870603,-13608.332,-0.07964039,0.51082563,-0.010136604,0.093211174,0.36319923,22.15693,4.520689,1
32,17,80,45775.0,20465.0,251,7442.0,14015.0,16104.0,9.926472,10.731493,5.525453,9.547883,8.914895,9.686823,,,,,,,44.70781,,0
33,17,90,47198.0,21615.0,404,8728.0,15613.0,24636.0,9.981143,10.762107,6.001415,9.655859,9.074291,10.111964,-20455.02,0.0306139,0.4759617,0.10797596,0.15939617,0.42514133,45.796432,1.088623,1
34,18,80,50508.0,18299.0,234,9821.0,18594.0,14417.0,9.814602,10.829887,5.4553213,9.830594,9.192278,9.576163,,,,,,,36.229904,,0
35,18,90,59738.0,23508.0,414,12128.0,21951.0,24565.0,10.065096,10.997724,6.025866,9.996568,9.403272,10.109078,-18288.936,0.16783619,0.5705447,0.16597366,0.21099377,0.5329151,39.351837,3.121933,1
36,19,80,52738.0,19308.0,248,9717.0,18773.0,13180.0,9.868275,10.873092,5.5134287,9.840175,9.181632,9.486456,,,,,,,36.61117,,0
37,19,90,65608.0,22508.0,415,13178.0,24513.0,22900.0,10.021626,11.091453,6.0282784,10.106959,9.486304,10.038892,-19297.979,0.2183609,0.51484966,0.26678467,0.30467224,0.5524359,34.306793,-2.3043785,1
38,20,80,32644.0,9253.0,224,6743.0,12821.0,13030.0,9.132703,10.393416,5.411646,9.458839,8.81626,9.47501,,,,,,,28.345179,,0
39,20,90,37712.0,12223.0,396,8184.0,14689.0,21531.0,9.411075,10.537734,5.9814143,9.594854,9.009936,9.977249,-9243.589,0.14431763,0.5697684,0.13601494,0.193676,0.5022392,32.411434,4.0662556,1
40,21,80,40450.0,8551.0,194,6909.0,14313.0,12195.0,9.053803,10.607821,5.267858,9.568924,8.84058,9.408781,,,,,,,21.139679,,0
41,21,90,40641.0,7086.0,332,7893.0,15973.0,20043.0,8.865876,10.612533,5.805135,9.678655,8.973732,9.905635,-8542.134,0.004711151,0.53727674,0.10973072,0.13315201,0.49685383,17.435595,-3.7040844,1
42,22,80,219419.0,24732.0,239,36118.0,78581.0,15158.0,10.115853,12.2987385,5.4764633,11.271885,10.494547,9.626284,,,,,,,11.271585,,0
43,22,90,219531.0,29333.0,354,39310.0,83340.0,21898.0,10.2864685,12.299249,5.869297,11.330684,10.579234,9.99415,-24721.713,0.00051021576,0.3928337,0.05879879,0.08468723,0.36786652,13.361667,2.0900812,1
44,23,80,95322.0,23403.0,257,29947.0,38836.0,14211.0,10.060619,11.465016,5.549076,10.567103,10.307184,9.561771,,,,,,,24.55152,,0
45,23,90,95802.0,24364.0,538,27446.0,39405.0,33140.0,10.100862,11.470038,6.2878585,10.581648,10.219975,10.408496,-23392.898,0.005022049,0.7387824,0.014544487,-0.08720875,0.8467245,25.43162,0.88010025,1
46,24,80,51392.0,32289.0,248,8293.0,12714.0,15000.0,10.382482,10.847238,5.5134287,9.4504595,9.023167,9.615806,,,,,,,62.828846,,0
47,24,90,50677.0,32044.0,451,9024.0,13500.0,24719.0,10.374866,10.833227,6.1114674,9.510445,9.107643,10.115328,-32278.625,-0.014010429,0.5980387,0.05998516,0.08447647,0.4995222,63.231842,0.40299606,1
48,25,80,79722.0,17340.0,232,14092.0,28375.0,14620.0,9.760771,11.286301,5.4467373,10.253263,9.553363,9.590146,,,,,,,21.750584,,0
49,25,90,80277.0,18351.0,403,15481.0,29409.0,23207.0,9.817439,11.293239,5.9989367,10.289056,9.647368,10.052209,-17330.182,0.0069379807,0.55219936,0.03579235,0.094005585,0.46206284,22.859598,1.1090145,1
50,26,80,107966.0,35628.0,309,22728.0,38945.0,18316.0,10.480887,11.589572,5.733341,10.569905,10.031353,9.81553,,,,,,,32.99928,,0
51,26,90,109592.0,36074.0,568,23661.0,41657.0,33344.0,10.493328,11.60452,6.3421216,10.637225,10.071584,10.414633,-35617.508,0.014947891,0.6087804,0.06731987,0.04023075,0.599103,32.916637,-0.0826416,1
52,27,80,42566.0,8571.0,238,5756.0,13920.0,15367.0,9.05614,10.658811,5.4722705,9.541082,8.657998,9.639977,,,,,,,20.13579,,0
53,27,90,48812.0,11889.0,399,8731.0,17926.0,24004.0,9.3833685,10.795732,5.988961,9.794007,9.0746355,10.085976,-8561.616,0.13692093,0.51669073,0.25292492,0.41663742,0.4459982,24.356716,4.2209263,1
54,28,80,40829.0,7392.0,197,6509.0,14517.0,10983.0,8.908154,10.617147,5.2832036,9.583076,8.780941,9.304104,,,,,,,18.104778,,0
55,28,90,41882.0,8703.0,304,8569.0,15911.0,21174.0,9.071424,10.6426115,5.7170277,9.674766,9.055906,9.960529,-7382.9287,0.025464058,0.43382406,0.09169006,0.2749653,0.6564255,20.77981,2.6750317,1
56,29,80,62061.0,22202.0,236,11666.0,21452.0,13651.0,10.007937,11.035873,5.463832,9.973573,9.364434,9.521568,,,,,,,35.77448,,0
57,29,90,69101.0,22166.0,382,14533.0,25841.0,22059.0,10.006315,11.143325,5.9454207,10.159718,9.584177,10.001476,-22191.994,0.10745144,0.48158884,0.18614483,0.21974277,0.479908,32.077682,-3.6967964,1
58,30,80,171932.0,24993.0,231,26683.0,64934.0,17094.0,10.126351,12.054854,5.4424176,11.081126,10.191782,9.746483,,,,,,,14.536561,,0
59,30,90,191972.0,29616.0,379,31584.0,75402.0,28056.0,10.29607,12.165105,5.9375362,11.230589,10.360406,10.241958,-24982.703,0.11025047,0.49511862,0.1494627,0.16862392,0.49547482,15.42725,0.8906889,1
60,31,80,45086.0,5645.0,215,6423.0,16165.0,13593.0,8.638525,10.716327,5.370638,9.690603,8.76764,9.51731,,,,,,,12.520516,,0
61,31,90,62126.0,9002.0,366,10415.0,23797.0,23648.0,9.105202,11.03692,5.902633,10.077314,9.251002,10.0710335,-5635.895,0.32059288,0.5319953,0.38671112,0.4833622,0.55372334,14.489907,1.9693909,1
62,32,80,28732.0,14173.0,230,6230.0,9195.0,10294.0,9.559094,10.265767,5.4380794,9.126415,8.737132,9.239317,,,,,,,49.328274,,0
63,32,90,29541.0,16361.0,493,6839.0,9617.0,25152.0,9.702656,10.293534,6.200509,9.171288,8.830397,10.132692,-14163.297,0.027767181,0.7624297,0.044872284,0.09326458,0.8933754,55.38404,6.055767,1
64,33,80,101727.0,14587.0,212,24737.0,40767.0,12511.0,9.587886,11.530048,5.3565865,10.615628,10.1160555,9.434363,,,,,,,14.339359,,0
65,33,90,101082.0,17635.0,456,25989.0,42121.0,17738.0,9.777641,11.523687,6.122493,10.648302,10.165429,9.783464,-14577.223,-0.0063610077,0.76590633,0.032673836,0.049373627,0.34910107,17.446232,3.1068726,1
66,34,80,170105.0,21139.0,210,38869.0,66961.0,12321.0,9.958875,12.044171,5.3471074,11.111866,10.567952,9.419061,,,,,,,12.427031,,0
67,34,90,163860.0,23703.0,409,38280.0,64945.0,21242.0,10.073357,12.006767,6.0137153,11.081296,10.552683,9.963736,-21128.926,-0.03740406,0.66660786,-0.03057003,-0.0152692795,0.5446749,14.465397,2.0383663,1
68,35,80,32421.0,14338.0,256,5859.0,10019.0,15744.0,9.570668,10.386561,5.5451775,9.212238,8.6757345,9.664215,,,,,,,44.224422,,0
69,35,90,38719.0,15359.0,489,8199.0,13780.0,30489.0,9.639457,10.564086,6.1923623,9.530973,9.011767,10.325121,-14328.36,0.17752457,0.64718485,0.31873512,0.33603287,0.66090584,39.667862,-4.5565605,1
70,36,80,100831.0,14863.0,225,22012.0,37976.0,12845.0,9.60663,11.521201,5.4161005,10.544709,9.999343,9.46071,,,,,,,14.740506,,0
71,36,90,136611.0,18486.0,440,31270.0,560011.0,24354.0,9.824769,11.824893,6.086775,13.235712,10.350414,10.100451,-14853.175,0.30369186,0.6706743,2.6910028,0.35107136,0.6397419,13.531854,-1.2086525,1
72,37,80,150255.0,16498.0,255,28181.0,54851.0,17022.0,9.710995,11.920089,5.5412636,10.912375,10.246404,9.742262,,,,,,,10.9800005,,0
73,37,90,207951.0,29138.0,479,45587.0,85822.0,32451.0,10.2797985,12.245058,6.1717005,11.360031,10.727378,10.387486,-16487.72,0.3249693,0.6304369,0.44765568,0.4809742,0.6452246,14.011954,3.0319538,1
74,38,80,35740.0,10463.0,231,6109.0,11472.0,13471.0,9.255601,10.484026,5.4424176,9.347665,8.717519,9.508294,,,,,,,29.275322,,0
75,38,90,44972.0,12470.0,374,9849.0,17017.0,12206.0,9.431081,10.713796,5.924256,9.741968,9.195126,9.409683,-10453.569,0.2297697,0.48183823,0.39430332,0.47760677,-0.09861088,27.728365,-1.546957,1
76,39,80,61383.0,8534.0,228,11002.0,23602.0,17065.0,9.051813,11.024888,5.4293456,10.069087,9.305832,9.744785,,,,,,,13.902872,,0
77,39,90,74111.0,11938.0,355,15647.0,30149.0,25326.0,9.387482,11.213319,5.872118,10.313907,9.658034,10.139586,-8524.612,0.18843079,0.4427724,0.24481964,0.35220242,0.39480114,16.10827,2.2053986,1
78,40,80,43765.0,7959.0,216,7468.0,15577.0,16009.0,8.982059,10.686589,5.3752785,9.653551,8.918383,9.680906,,,,,,,18.185764,,0
79,40,90,49425.0,10494.0,367,9505.0,18531.0,25456.0,9.258559,10.808211,5.9053617,9.8272,9.159574,10.144707,-7949.741,0.121622086,0.5300832,0.17364883,0.24119091,0.46380043,21.23217,3.0464058,1
80,41,80,25728.0,13789.0,252,4062.0,7130.0,13521.0,9.531627,10.155335,5.529429,8.8720665,8.309431,9.511999,,,,,,,53.595306,,0
81,41,90,28176.0,14394.0,393,4917.0,8502.0,21766.0,9.574567,10.246225,5.9738097,9.048057,8.500454,9.988105,-13779.426,0.09088993,0.44438076,0.1759901,0.19102287,0.4761057,51.08603,-2.5092773,1
82,42,80,26164.0,10030.0,248,5311.0,8655.0,13891.0,9.213336,10.17214,5.5134287,9.065892,8.577536,9.538997,,,,,,,38.335117,,0
83,42,90,28835.0,12611.0,401,5404.0,8808.0,21463.0,9.442325,10.269345,5.9939613,9.083416,8.594894,9.974086,-10020.558,0.09720516,0.48053265,0.017523766,0.01735878,0.4350891,43.735043,5.399925,1
84,43,80,68020.0,16689.0,244,11109.0,24831.0,15555.0,9.722506,11.127557,5.497168,10.119848,9.315511,9.652138,,,,,,,24.53543,,0
85,43,90,80071.0,17751.0,362,15623.0,31907.0,25165.0,9.784197,11.290669,5.891644,10.370581,9.6565,10.133209,-16679.215,0.16311264,0.39447594,0.25073242,0.3409891,0.48107147,22.169075,-2.366356,1
86,44,80,38268.0,18098.0,219,7027.0,12829.0,11102.0,9.803556,10.552369,5.389072,9.459463,8.857515,9.31488,,,,,,,47.292778,,0
87,44,90,36676.0,14972.0,354,8544.0,14172.0,18501.0,9.613937,10.509878,5.869297,9.559024,9.052984,9.82558,-18088.387,-0.04249096,0.4802251,0.09956074,0.1954689,0.5106993,40.822334,-6.4704437,1
88,45,80,40960.0,16072.0,245,8292.0,14637.0,13621.0,9.684834,10.620351,5.5012584,9.591308,9.0230465,9.519368,,,,,,,39.23828,,0
89,45,90,44757.0,15872.0,385,9506.0,16743.0,23212.0,9.672312,10.709003,5.9532433,9.725736,9.159678,10.052424,-16062.328,0.08865261,0.45198488,0.13442802,0.13663197,0.53305626,35.46261,-3.775673,1
90,46,80,105624.0,19179.0,249,21538.0,42323.0,14959.0,9.861571,11.567641,5.5174527,10.653086,9.977574,9.613069,,,,,,,18.157804,,0
91,46,90,112669.0,21440.0,425,22791.0,46274.0,25369.0,9.973014,11.63221,6.052089,10.742335,10.034121,10.141283,-19169.027,0.06456852,0.5346365,0.08924961,0.05654621,0.52821445,19.029192,0.8713875,1
92,47,80,564871.0,58499.0,225,111180.0,217150.0,14834.0,10.976765,13.244352,5.4161005,12.288343,11.618906,9.604677,,,,,,,10.35617,,0
93,47,90,632910.0,74047.0,422,137242.0,256996.0,26651.0,11.212456,13.358084,6.0450053,12.456816,11.829501,10.190582,-58487.79,0.113731384,0.6289048,0.16847229,0.21059513,0.5859051,11.699451,1.3432817,1
94,48,80,36130.0,24358.0,266,7400.0,9830.0,9771.0,10.1006155,10.494879,5.583496,9.193194,8.909235,9.187174,,,,,,,67.417656,,0
95,48,90,38923.0,27717.0,490,8335.0,10938.0,18257.0,10.229801,10.569341,6.1944056,9.299998,9.028219,9.812304,-24347.77,0.07446194,0.61090946,0.106803894,0.11898422,0.6251297,71.20982,3.7921677,1
96,49,80,101208.0,17326.0,203,16366.0,30436.0,12393.0,9.759964,11.524933,5.313206,10.323381,9.702961,9.424887,,,,,,,17.1192,,0
97,49,90,98052.0,17312.0,392,18649.0,33919.0,23216.0,9.759155,11.493253,5.971262,10.43173,9.833548,10.052597,-17316.24,-0.031680107,0.6580558,0.10834885,0.13058662,0.62771034,17.655937,0.53673744,1
98,50,80,175030.0,22802.0,203,33499.0,68574.0,11971.0,10.034603,12.072713,5.313206,11.135669,10.4192705,9.390243,,,,,,,13.027481,,0
99,50,90,165121.0,21604.0,332,35081.0,69973.0,19923.0,9.980634,12.014434,5.805135,11.155865,10.465415,9.899631,-22792.02,-0.058279037,0.49192858,0.020195961,0.046144485,0.50938797,13.083738,0.056257248,1
100,51,80,32845.0,6495.0,226,5647.0,11517.0,14295.0,8.778788,10.399555,5.420535,9.35158,8.63888,9.567665,,,,,,,19.7747,,0
101,51,90,44922.0,8196.0,388,8971.0,17110.0,26394.0,9.011401,10.712683,5.961005,9.747418,9.101752,10.180892,-6485.989,0.31312752,0.5404701,0.39583874,0.4628725,0.6132269,18.244959,-1.5297413,1
102,52,80,37272.0,22555.0,282,8798.0,11967.0,9789.0,10.023712,10.525998,5.641907,9.389908,9.08228,9.189014,,,,,,,60.514595,,0
103,52,90,52456.0,31212.0,428,13952.0,17878.0,9262.0,10.348557,10.86773,6.059123,9.7913265,9.543378,9.133676,-22544.652,0.34173203,0.41721582,0.4014187,0.46109772,-0.05533886,59.501297,-1.013298,1
104,53,80,173979.0,23397.0,245,25130.0,60783.0,15732.0,10.060363,12.0666895,5.5012584,11.015065,10.131818,9.663452,,,,,,,13.448174,,0
105,53,90,186206.0,28322.0,381,30940.0,69143.0,24130.0,10.251394,12.134609,5.9427996,11.143932,10.339805,10.091211,-23386.748,0.06791973,0.4415412,0.12886715,0.20798683,0.42775917,15.210036,1.7618618,1
106,54,80,27149.0,7657.0,194,4842.0,9268.0,11713.0,8.943376,10.209096,5.267858,9.134323,8.485084,9.368455,,,,,,,28.203617,,0
107,54,90,30872.0,9990.0,346,6584.0,11306.0,15917.0,9.20934,10.3376045,5.846439,9.333089,8.7923975,9.675143,-7647.7905,0.12850857,0.57858086,0.19876575,0.30731392,0.3066883,32.35942,4.1558037,1
108,55,80,101261.0,12883.0,207,17571.0,37578.0,12007.0,9.463664,11.525456,5.332719,10.534174,9.774005,9.393245,,,,,,,12.7225685,,0
109,55,90,103590.0,16308.0,353,21119.0,39482.0,17852.0,9.699411,11.548196,5.866468,10.5836,9.957929,9.789871,-12873.301,0.02273941,0.5337491,0.04942608,0.18392372,0.39662647,15.742832,3.0202637,1
110,56,80,26844.0,7863.0,198,4895.0,9291.0,12693.0,8.969923,10.197798,5.288267,9.136802,8.49597,9.448806,,,,,,,29.291462,,0
111,56,90,32762.0,9232.0,328,6293.0,11034.0,21312.0,9.130431,10.397024,5.7930136,9.308737,8.747193,9.967026,-7853.8696,0.19922638,0.50474644,0.17193508,0.25122356,0.51821995,28.178988,-1.1124744,1
112,57,80,74108.0,26926.0,186,11282.0,20083.0,12647.0,10.200848,11.213279,5.2257466,9.907629,9.330964,9.445175,,,,,,,36.333458,,0
113,57,90,86835.0,31236.0,336,14304.0,23805.0,21162.0,10.349326,11.371765,5.817111,10.077651,9.568295,9.959963,-26915.65,0.15848637,0.5913644,0.17002201,0.23733044,0.5147877,35.971672,-0.3617859,1
114,58,80,37312.0,8699.0,243,7415.0,13107.0,13048.0,9.070963,10.52707,5.4930615,9.480902,8.911261,9.47639,,,,,,,23.314215,,0
115,58,90,39127.0,9972.0,493,8773.0,14680.0,25523.0,9.207537,10.574568,6.200509,9.594241,9.079434,10.147335,-8689.792,0.04749775,0.7074475,0.113339424,0.16817379,0.67094517,25.486237,2.1720219,1
116,59,80,39916.0,8860.0,268,8464.0,15401.0,13942.0,9.089302,10.594533,5.590987,9.642188,9.043577,9.542661,,,,,,,22.196613,,0
117,59,90,40341.0,9657.0,469,9215.0,16009.0,18592.0,9.175438,10.6051235,6.150603,9.680906,9.128588,9.830486,-8850.824,0.010590553,0.5596156,0.038718224,0.08501053,0.28782558,23.938425,1.7418118,1
118,60,80,63684.0,6331.0,204,10637.0,25496.0,12540.0,8.753214,11.061688,5.31812,10.146276,9.272094,9.436679,,,,,,,9.941273,,0
119,60,90,54844.0,7013.0,311,10053.0,23419.0,18276.0,8.855521,10.912248,5.739793,10.061303,9.215627,9.813344,-6322.1445,-0.14944077,0.42167282,-0.084973335,-0.056467056,0.37666512,12.787178,2.8459053,1
120,61,80,27605.0,11768.0,220,5000.0,9628.0,10994.0,9.373139,10.225752,5.3936276,9.172431,8.517193,9.305105,,,,,,,42.62996,,0
121,61,90,25879.0,11870.0,355,5334.0,9588.0,18022.0,9.381769,10.161187,5.872118,9.168267,8.581857,9.799349,-11758.618,-0.064564705,0.47849035,-0.004163742,0.06466389,0.49424362,45.867306,3.2373466,1
122,62,80,51509.0,9610.0,225,7169.0,18359.0,14457.0,9.17056,10.849512,5.4161005,9.817875,8.8775215,9.578934,,,,,,,18.656933,,0
123,62,90,56856.0,10640.0,352,8980.0,21118.0,24735.0,9.272376,10.948277,5.8636312,9.957881,9.102756,10.115974,-9600.728,0.09876537,0.44753075,0.14000607,0.22523403,0.5370407,18.713943,0.05701065,1
124,63,80,48347.0,9051.0,220,8224.0,18085.0,13458.0,9.110631,10.7861595,5.3936276,9.802838,9.0148115,9.507329,,,,,,,18.720913,,0
125,63,90,51003.0,9961.0,344,10073.0,19970.0,21947.0,9.206432,10.83964,5.8406415,9.901986,9.217614,9.996386,-9041.794,0.05348015,0.44701385,0.0991478,0.20280266,0.4890566,19.530224,0.8093109,1
126,64,80,170616.0,37475.0,243,34108.0,66451.0,16510.0,10.531429,12.047171,5.4930615,11.10422,10.437287,9.711721,,,,,,,21.964529,,0
127,64,90,191262.0,44601.0,472,41029.0,77361.0,29420.0,10.705511,12.1614,6.156979,11.256238,10.622034,10.28943,-37464.293,0.1142292,0.66391754,0.1520176,0.18474674,0.57770824,23.31932,1.3547916,1
