,state,district,democA,voteA,expendA,expendB,prtystrA,lexpendA,lexpendB,shareA
0,AL,7,1,68,328.296,8.737,41,5.7939157,2.167567,97.40767
1,AK,1,0,62,626.377,402.477,60,6.4399524,5.9976377,60.88104
2,AZ,2,1,73,99.607,3.065,55,4.6012325,1.1200476,97.01476
3,AZ,3,0,69,319.69,26.281,64,5.7673516,3.2688463,92.4037
4,AR,3,0,75,159.221,60.054,66,5.070293,4.0952444,72.61247
5,AR,4,1,69,570.155,21.393,46,6.345908,3.0630639,96.38355
6,CA,2,0,59,696.748,193.915,58,6.546424,5.26742,78.22802
7,CA,3,1,71,638.688,7.695,49,6.459416,2.0405707,98.80953
8,CA,5,1,76,616.936,19.245,71,6.424765,2.9572513,96.974915
9,CA,6,1,73,351.687,50.532,64,5.8627415,3.922607,87.43669
10,CA,7,1,68,269.887,14.71,53,5.5980034,2.6885276,94.83129
11,CA,11,1,71,269.51,95.575,58,5.5966053,4.5599113,73.82117
12,CA,12,0,52,1440.639,1089.57,49,7.272842,6.9935384,56.93755
13,CA,16,1,79,252.336,69.563,54,5.5307617,4.242233,78.38981
14,CA,19,0,50,1470.674,1548.193,54,7.293476,7.344844,48.71609
15,CA,23,1,64,140.486,100.956,56,4.945108,4.6146846,58.18623
16,CA,24,1,72,191.334,15.449,65,5.2540207,2.7375443,92.528885
17,CA,27,1,68,398.597,15.239,54,5.987951,2.7238579,96.31763
18,CA,30,1,60,460.622,382.111,53,6.132578,5.945711,54.65812
19,CA,32,1,67,457.41,20.608,49,6.1255803,3.0256793,95.688866
20,CA,34,1,63,227.098,149.886,50,5.4253817,5.009875,60.240753
21,CA,36,1,54,532.897,218.696,47,6.278328,5.3876824,70.902336
22,CA,37,0,64,122.839,13.558,68,4.8108745,2.6069767,90.0599
23,CA,40,0,67,1110.126,47.746,68,7.012229,3.8658953,95.8764
24,CA,42,0,64,494.487,11.889,65,6.203521,2.4756136,97.65214
25,CO,1,1,70,217.503,26.04,61,5.3822126,3.2596338,89.307846
26,CO,2,1,63,721.647,85.095,50,6.5815363,4.4437685,89.45202
27,CO,3,1,78,482.789,17.936,46,6.1795797,2.8868098,96.41799
28,CO,5,0,75,183.229,0.93,67,5.2107368,-0.07257068,99.495
29,CO,6,0,63,636.204,489.303,57,6.455519,6.1929817,56.525993
30,CT,2,1,64,727.919,246.903,49,6.59019,5.5089955,74.67199
31,CT,4,0,72,372.68,44.41,57,5.92072,3.7934647,89.35242
32,CT,6,0,66,399.37,128.853,53,5.989888,4.858672,75.60632
33,DE,1,1,68,371.747,184.712,43,5.9182134,5.2187977,66.80582
34,FL,1,1,67,210.94,23.912,27,5.351574,3.1743805,89.81827
35,FL,4,0,50,313.415,1069.699,36,5.747528,6.9751325,22.660099
36,FL,6,0,54,408.292,503.654,61,6.0119824,6.2218895,44.77151
37,FL,14,1,55,971.883,777.988,47,6.8792353,6.656711,55.540264
38,FL,19,1,72,337.596,4.907,41,5.82185,1.5906627,98.567314
39,GA,1,1,67,337.048,40.461,39,5.8202252,3.7003386,89.28211
40,GA,4,1,60,516.737,696.301,41,6.2475343,6.545782,42.598583
41,GA,5,1,78,101.54,6.047,68,4.620453,1.7995622,94.37943
42,GA,6,0,59,838.708,358.354,67,6.7318625,5.881521,70.06387
43,GA,7,1,65,382.281,60.694,29,5.946156,4.105845,86.298546
44,GA,9,1,63,405.04,64.4,29,6.003986,4.1651134,86.281525
45,GA,10,1,64,193.123,6.76,35,5.263327,1.9110229,96.61802
46,ID,2,1,63,502.083,206.96,33,6.2187653,5.3325257,70.81136
47,IL,4,1,50,359.942,348.339,44,5.885943,5.853176,50.819096
48,IL,5,1,61,165.144,48.94,48,5.1068177,3.890595,77.13982
49,IL,6,0,74,281.229,26.555,68,5.639169,3.279218,91.37219
50,IL,9,1,66,122.9,28.324,61,4.811371,3.3437095,81.27017
51,IL,11,1,65,239.158,41.259,46,5.477124,3.7198691,85.28655
52,IL,17,1,65,471.233,124.133,53,6.1553526,4.8213534,79.15014
53,IL,19,1,64,193.205,16.241,45,5.263752,2.7875388,92.245735
54,IL,20,1,69,251.634,57.708,49,5.5279756,4.0553956,81.34492
55,IL,21,1,53,394.412,69.486,54,5.977396,4.241125,85.02128
56,IN,2,1,53,444.422,332.88,35,6.0967746,5.807782,57.174946
57,IN,5,1,56,689.086,244.985,35,6.535366,5.501197,73.77234
58,IN,6,0,73,333.723,11.743,69,5.8103113,2.4632573,96.60082
59,IN,8,1,62,551.484,130.243,42,6.312613,4.869402,80.89514
60,IN,10,1,61,35.786,24.919,51,3.5775568,3.2156305,58.950665
61,IA,5,0,64,420.73,115.701,47,6.041991,4.7510095,78.431335
62,IA,6,0,64,523.108,175.951,50,6.259788,5.1702056,74.83031
63,KS,2,1,73,388.866,119.263,46,5.963235,4.781331,76.52899
64,KS,3,0,74,234.583,13.483,54,5.4578094,2.6014297,94.56475
65,KS,4,1,64,545.755,149.035,43,6.3021703,5.0041814,78.54964
66,KY,2,1,61,8.397,84.102,41,2.1278746,4.43203,9.077936
67,KY,3,1,70,371.431,4.931,53,5.917363,1.5955418,98.68983
68,KY,4,0,74,468.87,23.636,65,6.1503253,3.162771,95.200874
69,KY,7,1,59,411.699,432.403,55,6.0202923,6.069358,48.77361
70,ME,2,0,66,202.317,68.39,55,5.309836,4.2252264,74.73653
71,MD,3,1,73,354.701,18.893,54,5.871275,2.9387915,94.94291
72,MA,4,1,60,343.097,34.368,57,5.838013,3.5371258,90.89505
73,MA,5,1,84,344.93,15.396,47,5.8433414,2.7341077,95.7272
74,MA,6,1,70,337.199,63.013,50,5.8206735,4.143341,84.2551
75,MA,10,1,67,235.946,121.056,51,5.463603,4.796253,66.09095
76,MI,2,0,54,876.779,750.493,58,6.776255,6.6207304,53.8803
77,MI,3,1,57,600.94,164.856,45,6.398495,5.1050725,78.472595
78,MI,4,0,71,323.829,8.577,63,5.7802157,2.149084,97.41972
79,MI,7,1,76,150.594,1.31,55,5.0145874,0.2700271,99.13761
80,MI,8,1,72,128.4,2.188,50,4.85515,0.7829879,98.3245
81,MI,9,0,70,450.801,14.866,62,6.111026,2.6990767,96.80759
82,MI,11,0,60,680.819,415.66,52,6.5232964,6.0298676,62.091385
83,MI,12,1,54,434.2,143.886,39,6.0735054,4.9690213,75.10993
84,MI,14,1,63,137.56,3.537,44,4.9240603,1.2632788,97.49322
85,MI,15,1,64,234.435,7.993,45,5.457178,2.078566,96.70294
86,MI,18,1,23,9.459,77.103,30,2.2469666,4.3451424,10.927429
87,MN,2,1,42,152.295,623.776,49,5.0258193,6.4357915,19.623848
88,MN,4,0,28,35.789,216.172,39,3.5776405,5.3760743,14.2041855
89,MN,5,0,28,16.915,281.455,35,2.8282008,5.6399727,5.669136
90,MN,6,0,35,100.941,320.219,49,4.6145363,5.7690053,23.967377
91,MN,8,0,25,7.743,157.802,40,2.0467892,5.0613413,4.6772766
92,MO,3,0,37,202.524,512.206,53,5.3108582,6.238727,28.335732
93,MO,6,1,41,198.617,341.344,50,5.2913785,5.832891,36.78358
94,MO,7,1,47,215.064,338.125,39,5.3709354,5.8234158,38.87713
95,MO,8,1,42,516.239,768.792,45,6.2465696,6.64482,40.17327
96,MO,9,0,32,9.565,210.841,55,2.2581105,5.3511043,4.3397217
97,MT,1,0,39,58.204,250.276,52,4.063954,5.5225644,18.867996
98,MT,2,1,45,394.102,380.928,46,5.9766097,5.9426103,50.849903
99,NE,1,1,33,96.278,221.53,44,4.5672398,5.400558,30.294388
100,NE,2,0,49,1158.294,858.762,58,7.054703,6.7554917,57.42498
101,NV,1,0,36,147.891,652.199,58,4.9964757,6.4803495,18.484299
102,NJ,3,0,48,981.865,678.647,63,6.889454,6.520101,59.130257
103,NJ,4,1,34,53.964,252.823,45,3.9883173,5.5326896,17.590057
104,NJ,6,0,38,38.919,123.632,54,3.6614826,4.8173094,23.942642
105,NJ,9,0,32,57.26,403.059,54,4.047602,5.999083,12.439201
106,NM,1,1,49,576.677,559.134,46,6.357282,6.3263893,50.772266
107,NM,3,0,27,41.669,267.633,46,3.7297573,5.589617,13.471947
108,NY,3,0,43,90.892,364.087,60,4.509672,5.8973927,19.977188
109,NY,5,1,35,35.627,337.792,44,3.5731037,5.82243,9.540756
110,NY,15,1,39,162.157,602.942,67,5.088565,6.401821,21.194252
111,NY,17,0,16,2.851,170.567,22,1.0476699,5.139128,1.6440048
112,NY,22,1,29,10.427,411.056,43,2.3443985,6.0187297,2.4738846
113,NY,23,0,38,174.79,273.505,44,5.163585,5.61132,38.989952
114,NY,24,1,28,15.936,151.276,42,2.7685807,5.019106,9.530418
115,NY,27,1,43,645.123,594.965,48,6.469441,6.3885026,52.022358
116,NY,30,0,43,310.704,802.886,55,5.7388406,6.688213,27.901115
117,NY,31,1,47,453.462,688.382,44,6.1169114,6.5343437,39.71313
118,NC,1,0,35,16.758,82.147,54,2.8188758,4.40851,16.943535
119,NC,4,0,42,745.726,1006.641,56,6.6143584,6.9143744,42.555355
120,NC,5,0,47,718.015,756.115,60,6.5764904,6.6281934,48.707714
121,NC,6,1,38,583.013,738.088,39,6.3682094,6.604063,44.130844
122,NC,8,0,48,242.782,581.888,62,5.492164,6.366278,29.439896
123,NC,10,1,39,44.329,302.215,35,3.791639,5.7111387,12.79174
124,ND,1,0,29,1.154,143.21,57,0.14323421,4.964312,0.7993698
125,OH,2,1,28,13.961,125.682,38,2.6362677,4.833755,9.997635
126,OH,6,1,26,43.485,884.754,36,3.772416,6.78531,4.684677
127,OH,9,0,19,47.945,244.03,47,3.8700545,5.497291,16.420929
128,OH,11,0,38,860.766,561.07,56,6.7578225,6.329846,60.53905
129,OH,14,0,25,13.244,419.005,48,2.5835447,6.037883,3.0639725
130,OH,15,1,25,6.682,211.963,38,1.8994174,5.356412,3.056099
131,OH,17,0,23,2.391,96.003,38,0.87171173,4.564379,2.4300232
132,OH,19,0,30,0.522,226.086,55,-0.65008765,5.4209156,0.23035431
133,OK,1,1,48,253.585,484.585,39,5.535699,6.183293,34.353195
134,OK,2,0,35,81.634,358.705,53,4.402246,5.8825,18.538895
135,OK,5,1,28,0.302,318.822,33,-1.1973283,5.7646327,0.09463501
136,OR,4,0,28,58.563,279.809,46,4.070103,5.634107,17.307281
137,PA,1,0,24,1.643,234.957,34,0.49652386,5.4594026,0.69441986
138,PA,3,0,37,23.101,250.48,52,3.139876,5.523379,8.443932
139,PA,6,0,37,12.002,121.435,62,2.4850733,4.7993793,8.994507
140,PA,7,1,32,203.582,507.36,40,5.3160686,6.229221,28.635529
141,PA,8,0,43,507.682,1089.612,62,6.229855,6.993577,31.783882
142,PA,13,1,33,60.672,225.412,44,4.105482,5.4179296,21.207756
143,PA,15,1,43,355.016,752.332,45,5.872163,6.6231775,32.06002
144,PA,23,1,38,106.463,336.675,44,4.6677976,5.819118,24.024796
145,RI,1,1,44,801.289,385.402,58,6.6862216,5.954287,67.522964
146,SC,1,1,36,82.035,118.702,39,4.407146,4.776616,40.866905
147,SC,3,0,46,354.575,641.429,67,5.8709197,6.4636984,35.599754
148,SC,4,0,48,630.913,1143.351,68,6.447168,7.0417185,35.559135
149,SD,1,0,28,199.42,632.105,53,5.295413,6.4490557,23.982445
150,TN,6,0,24,12.623,454.346,61,2.5355206,6.118859,2.7031784
151,TX,1,0,38,94.477,505.611,53,4.5483565,6.2257676,15.743858
152,TX,5,0,39,179.201,646.218,50,5.188508,6.471137,21.710304
153,TX,6,1,32,17.414,654.26,38,2.8572745,6.483505,2.5926285
154,TX,13,0,48,476.22,384.738,64,6.1658797,5.952563,55.3128
155,TX,14,0,47,645.988,600.114,58,6.470781,6.3971195,51.8407
156,TX,23,0,35,6.365,187.302,51,1.8508142,5.2327223,3.2865677
157,TX,26,1,31,189.78,314.903,32,5.2458653,5.7522645,37.6038
158,UT,1,1,40,391.928,426.902,28,5.9710784,6.0565543,47.86439
159,UT,2,0,43,254.823,676.472,60,5.5405693,6.516891,27.36222
160,VA,1,1,27,30.302,284.702,40,3.4112136,5.651443,9.61956
161,VA,10,1,32,241.445,758.365,43,5.486642,6.6311646,24.149086
162,WA,1,1,45,625.926,1321.021,51,6.4392323,7.18616,32.1491
163,WA,3,0,50,354.142,684.206,49,5.869698,6.528259,34.106293
164,WA,5,0,24,13.534,476.46,52,2.605205,6.1663837,2.7620773
165,WA,6,0,32,37.62,288.168,50,3.6275358,5.6635437,11.547386
166,WA,8,1,29,12.601,300.048,44,2.533776,5.7039423,4.0303955
167,WV,1,0,25,15.22,103.154,49,2.7226105,4.636223,12.857552
168,WV,4,0,39,32.039,152.271,42,3.466954,5.025662,17.383217
169,WI,3,1,32,22.626,359.801,53,3.1190996,5.885551,5.91642
170,WI,5,0,36,197.46,1278.526,36,5.2855363,7.1534634,13.378174
171,WI,7,0,38,202.591,450.716,46,5.311189,6.1108375,31.010078
172,WI,8,1,30,14.421,227.823,47,2.6686854,5.428569,5.953087
